Source,Country,Code,Year,Sex,Age,Deaths,Population
direct,Brazil,BRA,2015,m,85,12016.756921739794,77162.5
direct,Brazil,BRA,2015,m,86,10939.038349509558,61701.5
direct,Brazil,BRA,2015,m,87,10027.023812356105,47978.5
direct,Brazil,BRA,2015,m,88,9499.887638306052,36083.5
direct,Brazil,BRA,2015,m,89,8153.771025385354,26322.5
direct,Brazil,BRA,2015,m,90,7360.30270443954,18690
direct,Brazil,BRA,2015,m,91,6158.48378248338,12850
direct,Brazil,BRA,2015,m,92,5380.326121650941,8534.5
direct,Brazil,BRA,2015,m,93,4430.508522511746,5516.5
direct,Brazil,BRA,2015,m,94,3570.0610271080895,3499.5
direct,Brazil,BRA,2015,m,95,2928.378167401824,2162.5
direct,Brazil,BRA,2015,m,96,2348.6933061625027,1288
direct,Brazil,BRA,2015,m,97,1867.5602798343325,745
direct,Brazil,BRA,2015,m,98,1392.4429130635751,419.5
direct,Brazil,BRA,2015,m,99,1061.2404157977655,229
direct,Brazil,BRA,2015,m,100,2676.870514863841,238.5
direct,Brazil,BRA,2015,t,0,37598.55235765072,2974118
direct,Brazil,BRA,2015,t,1,2493.4694998394,2938522
direct,Brazil,BRA,2015,t,2,1321.4285487689301,2928986
direct,Brazil,BRA,2015,t,3,926.4036259958204,2961321.5
direct,Brazil,BRA,2015,t,4,868.2527490393728,2985405
direct,Brazil,BRA,2015,t,5,712.8495433799008,2993196.5
direct,Brazil,BRA,2015,t,6,706.833935418889,3003384.5
direct,Brazil,BRA,2015,t,7,599.5555934475115,3030895
direct,Brazil,BRA,2015,t,8,643.6700518282648,3079359.5
direct,Brazil,BRA,2015,t,9,611.5868093695351,3129541.5
direct,Brazil,BRA,2015,t,10,699.8157261310419,3159778
direct,Brazil,BRA,2015,t,11,678.7610982675004,3163174
direct,Brazil,BRA,2015,t,12,863.2397424051964,3201597.5
direct,Brazil,BRA,2015,t,13,1079.801629001622,3277999
direct,Brazil,BRA,2015,t,14,1584.1100963997794,3335444
direct,Brazil,BRA,2015,t,15,2564.654194044706,3379732
direct,Brazil,BRA,2015,t,16,3524.143663826092,3422839.5
direct,Brazil,BRA,2015,t,17,4560.833435773796,3445859.5
direct,Brazil,BRA,2015,t,18,5185.45406239219,3444802
direct,Brazil,BRA,2015,t,19,5576.4685798579585,3444742.5
direct,Brazil,BRA,2015,t,20,5876.246376581714,3433572.5
direct,Brazil,BRA,2015,t,21,5675.7261112146525,3416233.5
direct,Brazil,BRA,2015,t,22,5312.784430900274,3402725.5
direct,Brazil,BRA,2015,t,23,5364.919699895709,3410242.5
direct,Brazil,BRA,2015,t,24,5121.28757747473,3438106.5
direct,Brazil,BRA,2015,t,25,5245.610142002308,3463073.5
direct,Brazil,BRA,2015,t,26,5499.26827769164,3486565.5
direct,Brazil,BRA,2015,t,27,5412.041962256968,3510896
direct,Brazil,BRA,2015,t,28,5463.174629925569,3529463.5
direct,Brazil,BRA,2015,t,29,5506.286486979487,3540599
direct,Brazil,BRA,2015,t,30,5633.61685548757,3548957
direct,Brazil,BRA,2015,t,31,5665.7000979463,3543033
direct,Brazil,BRA,2015,t,32,6111.85768838801,3520914.5
direct,Brazil,BRA,2015,t,33,6442.716126243659,3479877
direct,Brazil,BRA,2015,t,34,6302.3519404867175,3421495
direct,Brazil,BRA,2015,t,35,6608.145345171485,3349719.5
direct,Brazil,BRA,2015,t,36,6737.480916333239,3272511
direct,Brazil,BRA,2015,t,37,6916.946553836759,3192227.5
direct,Brazil,BRA,2015,t,38,7000.162463964089,3110336.5
direct,Brazil,BRA,2015,t,39,6938.0011817003,3029182
direct,Brazil,BRA,2015,t,40,7484.418904825541,2951885.5
direct,Brazil,BRA,2015,t,41,7371.124954893151,2894874
direct,Brazil,BRA,2015,t,42,8092.99791021457,2843253
direct,Brazil,BRA,2015,t,43,8157.164395132029,2782924.5
direct,Brazil,BRA,2015,t,44,8543.16590596362,2727698.5
direct,Brazil,BRA,2015,t,45,9347.252170085534,2673788.5
direct,Brazil,BRA,2015,t,46,9704.178242438902,2624775
direct,Brazil,BRA,2015,t,47,10243.577756276294,2593242
