Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2018,f,33263,85,direct
South Africa,ZAF,2018,m,15763.999999999998,0,direct
South Africa,ZAF,2018,m,5819,1,direct
South Africa,ZAF,2018,m,1852,5,direct
South Africa,ZAF,2018,m,1981.9999999999998,10,direct
South Africa,ZAF,2018,m,4169,15,direct
South Africa,ZAF,2018,m,8432,20,direct
South Africa,ZAF,2018,m,13163,25,direct
South Africa,ZAF,2018,m,16710,30,direct
South Africa,ZAF,2018,m,17143,35,direct
South Africa,ZAF,2018,m,17948,40,direct
South Africa,ZAF,2018,m,18797,45,direct
South Africa,ZAF,2018,m,19952,50,direct
South Africa,ZAF,2018,m,23449,55,direct
South Africa,ZAF,2018,m,23983,60,direct
South Africa,ZAF,2018,m,24349,65,direct
South Africa,ZAF,2018,m,19206,70,direct
South Africa,ZAF,2018,m,17038,75,direct
South Africa,ZAF,2018,m,11082,80,direct
South Africa,ZAF,2018,m,12444,85,direct
South Africa,ZAF,2018,t,29764,0,direct
South Africa,ZAF,2018,t,10544,1,direct
South Africa,ZAF,2018,t,3270,5,direct
South Africa,ZAF,2018,t,3463,10,direct
South Africa,ZAF,2018,t,7273,15,direct
South Africa,ZAF,2018,t,14061,20,direct
South Africa,ZAF,2018,t,22748,25,direct
South Africa,ZAF,2018,t,28664,30,direct
South Africa,ZAF,2018,t,29666,35,direct
South Africa,ZAF,2018,t,30175,40,direct
South Africa,ZAF,2018,t,32636,45,direct
South Africa,ZAF,2018,t,35169,50,direct
South Africa,ZAF,2018,t,40710,55,direct
South Africa,ZAF,2018,t,42764,60,direct
South Africa,ZAF,2018,t,44740,65,direct
South Africa,ZAF,2018,t,38130,70,direct
South Africa,ZAF,2018,t,38686,75,direct
South Africa,ZAF,2018,t,30863,80,direct
South Africa,ZAF,2018,t,45707,85,direct
South Africa,ZAF,2019,f,15375,0,direct
South Africa,ZAF,2019,f,4616,1,direct
South Africa,ZAF,2019,f,1352,5,direct
South Africa,ZAF,2019,f,1415,10,direct
South Africa,ZAF,2019,f,2999,15,direct
South Africa,ZAF,2019,f,5179,20,direct
South Africa,ZAF,2019,f,8835,25,direct
South Africa,ZAF,2019,f,10915,30,direct
South Africa,ZAF,2019,f,11984,35,direct
South Africa,ZAF,2019,f,11956,40,direct
South Africa,ZAF,2019,f,13455,45,direct
South Africa,ZAF,2019,f,14685,50,direct
South Africa,ZAF,2019,f,17266,55,direct
South Africa,ZAF,2019,f,19078,60,direct
South Africa,ZAF,2019,f,20933,65,direct
South Africa,ZAF,2019,f,19930,70,direct
South Africa,ZAF,2019,f,21646.999999999996,75,direct
South Africa,ZAF,2019,f,20466,80,direct
South Africa,ZAF,2019,f,34196,85,direct
South Africa,ZAF,2019,m,16479,0,direct
South Africa,ZAF,2019,m,5686.999999999999,1,direct
South Africa,ZAF,2019,m,1801,5,direct
South Africa,ZAF,2019,m,1942.9999999999998,10,direct
South Africa,ZAF,2019,m,4199,15,direct
South Africa,ZAF,2019,m,8487,20,direct
South Africa,ZAF,2019,m,13043,25,direct
South Africa,ZAF,2019,m,15934.999999999998,30,direct
South Africa,ZAF,2019,m,16661,35,direct
South Africa,ZAF,2019,m,16788,40,direct
South Africa,ZAF,2019,m,17562,45,direct
South Africa,ZAF,2019,m,19107,50,direct
South Africa,ZAF,2019,m,22703,55,direct
South Africa,ZAF,2019,m,23843,60,direct
South Africa,ZAF,2019,m,24358,65,direct
South Africa,ZAF,2019,m,20550.999999999996,70,direct
South Africa,ZAF,2019,m,17370,75,direct
South Africa,ZAF,2019,m,11820,80,direct
South Africa,ZAF,2019,m,12869.999999999998,85,direct
South Africa,ZAF,2019,t,31854,0,direct
South Africa,ZAF,2019,t,10303,1,direct
South Africa,ZAF,2019,t,3153,5,direct
South Africa,ZAF,2019,t,3358,10,direct
South Africa,ZAF,2019,t,7198,15,direct
South Africa,ZAF,2019,t,13666,20,direct
South Africa,ZAF,2019,t,21878,25,direct
South Africa,ZAF,2019,t,26850,30,direct
South Africa,ZAF,2019,t,28645,35,direct
South Africa,ZAF,2019,t,28744,40,direct
South Africa,ZAF,2019,t,31017,45,direct
South Africa,ZAF,2019,t,33792,50,direct
South Africa,ZAF,2019,t,39969,55,direct
South Africa,ZAF,2019,t,42921,60,direct
South Africa,ZAF,2019,t,45291,65,direct
South Africa,ZAF,2019,t,40481,70,direct
South Africa,ZAF,2019,t,39017,75,direct
South Africa,ZAF,2019,t,32286,80,direct
South Africa,ZAF,2019,t,47066,85,direct
South Africa,ZAF,2020,f,11743,0,direct
South Africa,ZAF,2020,f,3938,1,direct
South Africa,ZAF,2020,f,1198,5,direct
South Africa,ZAF,2020,f,1347,10,direct
South Africa,ZAF,2020,f,2891,15,direct
South Africa,ZAF,2020,f,5154,20,direct
South Africa,ZAF,2020,f,8789,25,direct
South Africa,ZAF,2020,f,11038.999999999998,30,direct
South Africa,ZAF,2020,f,12790,35,direct
South Africa,ZAF,2020,f,12775.999999999998,40,direct
South Africa,ZAF,2020,f,15383.999999999998,45,direct
South Africa,ZAF,2020,f,17864,50,direct
South Africa,ZAF,2020,f,21962,55,direct
South Africa,ZAF,2020,f,25457,60,direct
South Africa,ZAF,2020,f,27029,65,direct
South Africa,ZAF,2020,f,26691,70,direct
South Africa,ZAF,2020,f,25216,75,direct
South Africa,ZAF,2020,f,25341.999999999996,80,direct
South Africa,ZAF,2020,f,39279.00000000001,85,direct
South Africa,ZAF,2020,m,12721.999999999996,0,direct
South Africa,ZAF,2020,m,4737.999999999999,1,direct
South Africa,ZAF,2020,m,1630,5,direct
South Africa,ZAF,2020,m,1808,10,direct
South Africa,ZAF,2020,m,3805.0000000000005,15,direct
South Africa,ZAF,2020,m,7714,20,direct
South Africa,ZAF,2020,m,12260.000000000002,25,direct
South Africa,ZAF,2020,m,15476.999999999998,30,direct
South Africa,ZAF,2020,m,17437,35,direct
South Africa,ZAF,2020,m,17355,40,direct
South Africa,ZAF,2020,m,18841,45,direct
South Africa,ZAF,2020,m,21053,50,direct
South Africa,ZAF,2020,m,26102.000000000004,55,direct
South Africa,ZAF,2020,m,28633.999999999993,60,direct
South Africa,ZAF,2020,m,29296.000000000004,65,direct
South Africa,ZAF,2020,m,25986,70,direct
South Africa,ZAF,2020,m,20044,75,direct
South Africa,ZAF,2020,m,15029,80,direct
South Africa,ZAF,2020,m,14656.999999999998,85,direct
South Africa,ZAF,2020,t,24465,0,direct
South Africa,ZAF,2020,t,8676,1,direct
South Africa,ZAF,2020,t,2828,5,direct
South Africa,ZAF,2020,t,3155,10,direct
South Africa,ZAF,2020,t,6696,15,direct
South Africa,ZAF,2020,t,12868,20,direct
South Africa,ZAF,2020,t,21049,25,direct
South Africa,ZAF,2020,t,26515.999999999996,30,direct
South Africa,ZAF,2020,t,30227,35,direct
South Africa,ZAF,2020,t,30131,40,direct
South Africa,ZAF,2020,t,34225,45,direct
South Africa,ZAF,2020,t,38917,50,direct
South Africa,ZAF,2020,t,48064,55,direct
South Africa,ZAF,2020,t,54091,60,direct
South Africa,ZAF,2020,t,56325,65,direct
South Africa,ZAF,2020,t,52677,70,direct
South Africa,ZAF,2020,t,45260,75,direct
South Africa,ZAF,2020,t,40371,80,direct
South Africa,ZAF,2020,t,53936,85,direct
