Source,Country,Code,Year,Sex,Age,Deaths
eurs,Albania,ALB,2018,m,40,123
eurs,Albania,ALB,2018,m,45,217.00000000000009
eurs,Albania,ALB,2018,m,50,389
eurs,Albania,ALB,2018,m,55,650
eurs,Albania,ALB,2018,m,60,905
eurs,Albania,ALB,2018,m,65,1090
eurs,Albania,ALB,2018,m,70,1278
eurs,Albania,ALB,2018,m,75,2009
eurs,Albania,ALB,2018,m,80,2254.9999999999995
eurs,Albania,ALB,2018,m,85,1453
eurs,Albania,ALB,2018,m,90,689
eurs,Albania,ALB,2018,t,0,291
eurs,Albania,ALB,2018,t,5,32
eurs,Albania,ALB,2018,t,10,42.99999999999999
eurs,Albania,ALB,2018,t,15,71
eurs,Albania,ALB,2018,t,20,105
eurs,Albania,ALB,2018,t,25,106
eurs,Albania,ALB,2018,t,30,116
eurs,Albania,ALB,2018,t,35,155
eurs,Albania,ALB,2018,t,40,201
eurs,Albania,ALB,2018,t,45,337
eurs,Albania,ALB,2018,t,50,570
eurs,Albania,ALB,2018,t,55,992
eurs,Albania,ALB,2018,t,60,1380.9999999999998
eurs,Albania,ALB,2018,t,65,1675
eurs,Albania,ALB,2018,t,70,2088
eurs,Albania,ALB,2018,t,75,3703
eurs,Albania,ALB,2018,t,80,4387
eurs,Albania,ALB,2018,t,85,3226
eurs,Albania,ALB,2018,t,90,2258
eurs,Albania,ALB,2019,f,0,135
eurs,Albania,ALB,2019,f,5,12
eurs,Albania,ALB,2019,f,10,24
eurs,Albania,ALB,2019,f,15,25
eurs,Albania,ALB,2019,f,20,33
eurs,Albania,ALB,2019,f,25,28
eurs,Albania,ALB,2019,f,30,42
eurs,Albania,ALB,2019,f,35,43
eurs,Albania,ALB,2019,f,40,74
eurs,Albania,ALB,2019,f,45,130
eurs,Albania,ALB,2019,f,50,204
eurs,Albania,ALB,2019,f,55,311
eurs,Albania,ALB,2019,f,60,465
eurs,Albania,ALB,2019,f,65,597.9999999999999
eurs,Albania,ALB,2019,f,70,793.0000000000001
eurs,Albania,ALB,2019,f,75,1717.0000000000002
eurs,Albania,ALB,2019,f,80,2069
eurs,Albania,ALB,2019,f,85,1891
eurs,Albania,ALB,2019,f,90,1537
eurs,Albania,ALB,2019,m,0,175.00000000000003
eurs,Albania,ALB,2019,m,5,12.999999999999998
eurs,Albania,ALB,2019,m,10,17
eurs,Albania,ALB,2019,m,15,45
eurs,Albania,ALB,2019,m,20,53
eurs,Albania,ALB,2019,m,25,71
eurs,Albania,ALB,2019,m,30,95
eurs,Albania,ALB,2019,m,35,84
eurs,Albania,ALB,2019,m,40,138
eurs,Albania,ALB,2019,m,45,224.00000000000003
eurs,Albania,ALB,2019,m,50,341
eurs,Albania,ALB,2019,m,55,674
eurs,Albania,ALB,2019,m,60,896
eurs,Albania,ALB,2019,m,65,1080
eurs,Albania,ALB,2019,m,70,1371
eurs,Albania,ALB,2019,m,75,1992
eurs,Albania,ALB,2019,m,80,2298
eurs,Albania,ALB,2019,m,85,1458
eurs,Albania,ALB,2019,m,90,700
eurs,Albania,ALB,2019,t,0,310
eurs,Albania,ALB,2019,t,5,25
eurs,Albania,ALB,2019,t,10,41
eurs,Albania,ALB,2019,t,15,70
eurs,Albania,ALB,2019,t,20,86
eurs,Albania,ALB,2019,t,25,99
eurs,Albania,ALB,2019,t,30,137
eurs,Albania,ALB,2019,t,35,127
eurs,Albania,ALB,2019,t,40,212
eurs,Albania,ALB,2019,t,45,354
eurs,Albania,ALB,2019,t,50,545
eurs,Albania,ALB,2019,t,55,985
eurs,Albania,ALB,2019,t,60,1361
eurs,Albania,ALB,2019,t,65,1677.9999999999998
eurs,Albania,ALB,2019,t,70,2164
eurs,Albania,ALB,2019,t,75,3709.000000000001
eurs,Albania,ALB,2019,t,80,4367
eurs,Albania,ALB,2019,t,85,3349
eurs,Albania,ALB,2019,t,90,2237
eurs,Albania,ALB,2020,f,0,140
eurs,Albania,ALB,2020,f,5,6
eurs,Albania,ALB,2020,f,10,11
eurs,Albania,ALB,2020,f,15,12
eurs,Albania,ALB,2020,f,20,17
eurs,Albania,ALB,2020,f,25,27
eurs,Albania,ALB,2020,f,30,46
eurs,Albania,ALB,2020,f,35,55.99999999999999
eurs,Albania,ALB,2020,f,40,78
eurs,Albania,ALB,2020,f,45,132
eurs,Albania,ALB,2020,f,50,226
eurs,Albania,ALB,2020,f,55,363.99999999999994
eurs,Albania,ALB,2020,f,60,598.0000000000001
eurs,Albania,ALB,2020,f,65,779
eurs,Albania,ALB,2020,f,70,1158
eurs,Albania,ALB,2020,f,75,1929
eurs,Albania,ALB,2020,f,80,2685
eurs,Albania,ALB,2020,f,85,2282
eurs,Albania,ALB,2020,f,90,1733
eurs,Albania,ALB,2020,m,0,174
eurs,Albania,ALB,2020,m,5,10
eurs,Albania,ALB,2020,m,10,14.000000000000002
eurs,Albania,ALB,2020,m,15,29
eurs,Albania,ALB,2020,m,20,52
eurs,Albania,ALB,2020,m,25,60.00000000000001
eurs,Albania,ALB,2020,m,30,91
eurs,Albania,ALB,2020,m,35,131
eurs,Albania,ALB,2020,m,40,173.99999999999997
eurs,Albania,ALB,2020,m,45,265
eurs,Albania,ALB,2020,m,50,444
eurs,Albania,ALB,2020,m,55,885
eurs,Albania,ALB,2020,m,60,1254.0000000000002
eurs,Albania,ALB,2020,m,65,1575.0000000000002
eurs,Albania,ALB,2020,m,70,1872
eurs,Albania,ALB,2020,m,75,2634.9999999999995
eurs,Albania,ALB,2020,m,80,3046
eurs,Albania,ALB,2020,m,85,2070
eurs,Albania,ALB,2020,m,90,954
eurs,Albania,ALB,2020,t,0,314
eurs,Albania,ALB,2020,t,5,16
eurs,Albania,ALB,2020,t,10,25
eurs,Albania,ALB,2020,t,15,41
eurs,Albania,ALB,2020,t,20,69
eurs,Albania,ALB,2020,t,25,87
