Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2016,58,20869.445714877496,m,direct,USA,USA,1
2016,59,22357.5488020798,m,direct,USA,USA,1
2016,60,22876.584757898345,m,direct,USA,USA,1
2016,61,24338.68604384577,m,direct,USA,USA,1
2016,62,24891.72435515147,m,direct,USA,USA,1
2016,63,25338.755322879577,m,direct,USA,USA,1
2016,64,26296.821692193967,m,direct,USA,USA,1
2016,65,26757.85362982855,m,direct,USA,USA,1
2016,66,27053.87413642256,m,direct,USA,USA,1
2016,67,28133.948957779074,m,direct,USA,USA,1
2016,68,29865.06887978659,m,direct,USA,USA,1
2016,69,32588.257526595648,m,direct,USA,USA,1
2016,70,26855.860419173867,m,direct,USA,USA,1
2016,71,28168.951382545252,m,direct,USA,USA,1
2016,72,29908.071858785046,m,direct,USA,USA,1
2016,73,32439.24720401961,m,direct,USA,USA,1
2016,74,30991.146887978663,m,direct,USA,USA,1
2016,75,30758.13074596378,m,direct,USA,USA,1
2016,76,30679.125272920108,m,direct,USA,USA,1
2016,77,31461.17944912455,m,direct,USA,USA,1
2016,78,31785.201895531503,m,direct,USA,USA,1
2016,79,32178.229122191788,m,direct,USA,USA,1
2016,80,33037.28863288183,m,direct,USA,USA,1
2016,81,33674.332763626364,m,direct,USA,USA,1
2016,82,32900.2791416542,m,direct,USA,USA,1
2016,83,33702.334703439315,m,direct,USA,USA,1
2016,84,34665.40141914887,m,direct,USA,USA,1
2016,85,34868.41548279273,m,direct,USA,USA,1
2016,86,35060.42878436722,m,direct,USA,USA,1
2016,87,33755.3383752281,m,direct,USA,USA,1
2016,88,32918.2803886768,m,direct,USA,USA,1
2016,89,31472.18021119392,m,direct,USA,USA,1
2016,90,28743.991217989696,m,direct,USA,USA,1
2016,91,26089.807351433967,m,direct,USA,USA,1
2016,92,22898.58628203709,m,direct,USA,USA,1
2016,93,19434.346299463978,m,direct,USA,USA,1
2016,94,16178.120726929903,m,direct,USA,USA,1
2016,95,12795.886425237568,m,direct,USA,USA,1
2016,96,9608.665632956821,m,direct,USA,USA,1
2016,97,6496.450036603614,m,direct,USA,USA,1
2016,98,4867.337181057541,m,direct,USA,USA,1
2016,99,3143.217744003257,m,direct,USA,USA,1
2016,100,5046.349582004593,m,direct,USA,USA,-1
2016,0,23162.197787846595,t,direct,USA,USA,1
2016,1,1568.081205006294,t,direct,USA,USA,1
2016,2,1046.0537350021127,t,direct,USA,USA,1
2016,3,791.0420358547254,t,direct,USA,USA,1
2016,4,640.0325626355598,t,direct,USA,USA,1
2016,5,546.0277101034801,t,direct,USA,USA,1
