"ALB" "ARM" "AUS" "AUT" "BEL" "BGR" "BRA" "CAN" "CHE" "CHL" "COL" "CRI" "CUB" "CYP" "CZE" "DEU" "DNK" "DOM" "ESP" "EST" "FIN" "FRA" "GBR" "GEO" "GRC" "GTM" "HRV" "HUN" "IRL" "IRQ" "ISL" "ISR" "ITA" "JPN" "KAZ" "KOR" "LTU" "LUX" "LVA" "MDA" "MEX" "MLT" "MNE" "MNG" "MUS" "NLD" "NOR" "NZL" "PER" "POL" "PRT" "PRY" "ROU" "SRB" "SVK" "SVN" "SWE" "SYC" "UKR" "URY" "USA" "ZAF" "ZMB"
"45" 0.0605681559924178 0.0343096663996495 0.086229524074248 -0.077268163863988 -0.00994844760239715 0.0851856694650765 0.128203828718596 0.0158679833756756 -0.0677886977711306 0.108276395511239 0.12129068040276 0.133178344940289 0.215085789661866 0.0393562964384592 0.0221982084464128 0.00494208692050901 -0.0291626730353535 -0.15811136137884 -0.0180459973885236 0.113788468071449 0.0049688003971796 -0.0413858267409089 0.0656718040670113 0.0158633584481753 0.05284644961728 0.339013280169675 -0.0418936600395019 -0.0294038746517585 -0.000698349015727043 0.123495084956151 0.00370596950176943 0.027134947771361 -0.00917033451055074 0.0194762117169675 0.078421566564234 0.186948667602142 0.163174940957452 -0.18055250120797 0.0417842292817022 0.0577588527563514 0.64617649451617 0.00833997301171423 -0.0089600922954618 -1.31395640891421 0.0399915597317314 -0.0969248604363736 0.00823403812845637 0.0480498611938659 0.242858716744738 -0.0428508889060952 -0.0119100470758133 0.124667655932352 0.0142467202451894 -0.000982129318151163 -0.0350644629930151 -0.069889086999041 -0.0227849846742347 -0.179073498749868 0.101545998415108 0.06698861134063 0.0508934755242338 -0.0176277509134252 -0.0556179489293229
"50" 0.0931671926232283 0.0621804340221986 0.0977965710024829 -0.0800301416771622 -0.00757581201344707 0.122137156126148 0.113494593027075 -0.00303491408959245 -0.0742110652572871 0.115250160510668 0.132635270393866 0.123900070024199 0.218895144715091 0.0310874349290449 0.014673117435481 -0.00830871278000673 -0.0291263615982879 -0.153274877919423 0.000854374382126277 0.113906960879892 1.43148743990889e-05 -0.0337679378797812 0.0550519317927598 0.0420247556242901 0.0563919401040461 0.366471296512562 -0.0335340727216551 -0.0220866064050042 0.0163134135528541 0.143962741553841 -0.0242124355177516 0.0314882194682209 0.00410850376418751 0.0187667223398275 0.108286285325402 0.149863440291404 0.174721614503721 -0.195097448376997 0.0479523040373455 0.0488223522892237 0.550085582004049 0.0172274376155061 -0.0125241311344898 -1.25016064714274 0.0433273992702178 -0.120087075987775 -0.00693436466988607 0.0509693219545845 0.318796494160067 -0.0613591894586704 -0.0125703200996825 0.136360355358562 0.0340070969433107 0.0292250311572211 -0.0279189392431611 -0.068567232350796 -0.0404596018169517 -0.165734508725212 0.129692308816375 0.0540736654419314 0.0278087730224548 0.0697218252516732 -0.00396042900130129
"55" 0.117496508052454 0.0777475319426111 0.100225185740259 -0.068472205127455 0.00495366530144578 0.153518948410126 0.113055078162712 -0.0110525502401665 -0.0695721226853252 0.123157276289224 0.147543205784771 0.107593513957514 0.228196615560119 0.0222928031414598 0.00618786802707275 -0.00792705213276391 -0.0178715428199755 -0.148136436507378 0.03803583862538 0.0960611205299039 0.00215503023576247 -0.0165914433675551 0.0433979105636736 0.0658901420697183 0.0592696630784394 0.385770233678045 -0.020008204853122 0.00160920400897997 0.0316820864953167 0.149824905558724 -0.0519699453444861 0.0317844126966654 0.0189690194997104 0.00941995857644851 0.117901328239821 0.0974386316265593 0.180229540900052 -0.198864779686699 0.0557400982548151 0.0324101409216991 0.463537575654681 0.0244283455135331 -0.0162848574334447 -1.08797611772774 0.044036897847825 -0.117384371154079 -0.0172097331865811 0.0450873475861804 0.383523659799396 -0.0576895459144714 -0.0111435822158883 0.140282371317424 0.0542095058548293 0.0593590174368833 -0.0198795790588548 -0.0605447952129623 -0.0487302618691276 -0.143681911911903 0.138701186223149 0.0446765925615567 0.0394241432563293 0.151519673388025 0.0347951561237477
"60" 0.131640812098143 0.0760516564734211 0.0946910498196033 -0.0441237944723616 0.0321001852479321 0.167017634272304 0.122718017330384 -0.0150890941344992 -0.0523349098484212 0.121628812087347 0.152872980898153 0.0854907574995364 0.24605709916114 0.0152993901214659 0.00346608849234452 0.00861285538880291 -0.00317882266437867 -0.142567261890261 0.076997179833371 0.0653642159599113 0.00878360817546339 0.00673141018486331 0.0368696368105162 0.0811478465913233 0.0618077069808741 0.396171708939366 -0.00372039952746086 0.0356146066064523 0.0435611228098246 0.150007107897253 -0.0774681270823594 0.0284397077380907 0.0390140133203172 4.4643023217448e-05 0.122789556477511 0.0413274169182194 0.188052937066793 -0.192217354949377 0.0699531179445423 0.0179401921435023 0.37626687985404 0.0308245908532442 -0.0199632282075727 -0.793583742863674 0.0434378994748885 -0.0888371586673399 -0.0196666587094297 0.0271654996328788 0.406053990888312 -0.0134260719683183 -0.00594581107509341 0.131118132925256 0.0673447115966992 0.0778212411550017 -0.00712789050697027 -0.039679967386519 -0.042122680494276 -0.111230376830223 0.126518064247209 0.0393043758394329 0.0540061781713724 0.197189707058376 0.0535063503490598
"65" 0.134223678198956 0.0544294925641796 0.0851332153791942 -0.014945471538722 0.0687592618950903 0.150504577275226 0.123084045641705 -0.0201844043605514 -0.0260826994451748 0.110714379433699 0.13237879971622 0.0585073228079248 0.270196097742031 0.0110442352094734 0.0127400657267337 0.0369943627299286 0.00543960058235605 -0.12953764750041 0.0989865439412142 0.0297299787400381 0.0118762012333432 0.0281027803075385 0.0343687150538468 0.0802761715265658 0.0604993084173452 0.397729623259618 0.0096896592975673 0.0642164065168849 0.0505427111999908 0.155336843940915 -0.0983821111918828 0.0253628738806219 0.0643488486201254 0.00509513554157688 0.130863090248018 -0.00260969887238392 0.202822018792181 -0.176824424313427 0.0937435658375062 0.0132242524422193 0.277381849585392 0.0378347878013696 -0.022670832293893 -0.365323037429852 0.0425485667363168 -0.0488251295076555 -0.0163369330008428 -0.00185444262631783 0.369734209348328 0.0542540247319537 0.000958750024804554 0.109313175665362 0.0698400110140694 0.0741378509213786 0.0076275970908015 -0.00508946027416225 -0.0210679639027825 -0.066891135126261 0.108895003659674 0.0348376516130379 0.0489455201486344 0.195626598100421 0.0550636076392892
"70" 0.126626214462755 0.0195199882796375 0.0763889997028682 0.00683085285908591 0.102776171422728 0.102870771275587 0.100752459688337 -0.0246472263775114 0.00309037103017944 0.101073084213585 0.0852745667500798 0.0295635436399162 0.286336172563912 0.00855874489474504 0.032947806288327 0.0610407210290671 0.00649222826619737 -0.0927302799049521 0.0973178485401266 -0.00241907724736208 0.00433755665275512 0.0396846436743903 0.0348732338401438 0.0626046007393905 0.0505945768583466 0.383355111009834 0.0153764549835597 0.0673144001598585 0.0536232528310411 0.167523902854406 -0.112055913795714 0.0292373286049482 0.0859338467269531 0.0179770864947965 0.125538547704691 -0.0199909313898694 0.217822428532449 -0.154958119966305 0.12590971586106 0.0161349685854553 0.160349079870084 0.0473228821711865 -0.0231525517273669 0.163560733455984 0.0406482127252973 -0.0153623816936444 -0.0114400945942308 -0.0351150886206391 0.286442666362991 0.0909130935361296 0.00376018065611314 0.0818205799851243 0.0585058736649329 0.0493700855605693 0.0147372032881947 0.037117596898352 0.00819363053979597 -0.00984866679620379 0.106685526812808 0.0276270867791815 0.0349181171357036 0.161195149276891 0.0518331842740325
"75" 0.115350591153977 -0.00502788604097151 0.0705130005545399 0.0123408985924443 0.125029778934623 0.0460727051743065 0.0657609783586173 -0.0217889503380015 0.0310614538910969 0.0952313822775058 0.0385922095500321 0.00446739375808904 0.253475786426815 0.00554995506267073 0.0517341868193645 0.052214183784721 0.0120426740181767 -0.00819597765201236 0.0887714260519822 -0.0217869306880397 -0.00936107578175373 0.0400848350573307 0.0451771874816895 0.043598422394527 0.0304301421479822 0.321011407114702 0.0148519040835095 0.0352336137960738 0.0576133828674613 0.170715598171822 -0.116068244604117 0.043669057387551 0.0855524879853679 -0.0062381599800551 0.0700212566141033 -0.00748211331440104 0.211942057348907 -0.12762750530977 0.156457386036771 0.0134463571950257 0.00310845720790773 0.0612037569033654 -0.0206733167238452 0.747932092263026 0.0354411896426246 0.00418331996493085 -0.00517197319228807 -0.0585034820431666 0.187121276613294 0.0574070811697631 -0.00122629465605608 0.0555689879907993 0.0281842203507146 0.0238442373166469 0.00735965157448503 0.0769117777630842 0.0362073708503636 0.0592752925100128 0.116786012204568 0.0179442580069332 0.0283197143620993 0.113406216207804 0.0582256327994204
"80" 0.104212641374594 0.0109692008603617 0.0660925137416218 0.0166994718126329 0.135356366040542 0.0195091621254507 0.0270934256171432 -0.00894513786128455 0.0615434761240787 0.084950267246771 0.0103320174944114 -0.0149162501597998 0.10629302322697 0.00147209454369213 0.0641785269046986 0.0416780279759117 0.0263027639893566 0.138912173352726 0.0757270401215663 -0.0165006094323516 -0.0141839701693537 0.026229949945062 0.0536068444984568 0.0386542089893565 0.00596095160502416 0.174241731443645 0.0236516812922764 -0.00125207204009414 0.0699743686800281 0.158881142848999 -0.110518100027266 0.0606383337038526 0.0774353723531815 -0.039105547092414 0.0035642930555074 0.026217001630262 0.16916655709112 -0.0938182168470328 0.165156905789715 0.0163994081767531 -0.176326307614991 0.0827896805681313 -0.014723597516668 1.35727669479224 0.0216297278177196 0.00587938329643224 0.00602411903911419 -0.0580207375758781 0.0999214163465292 0.00499259800332723 -0.0119352331803415 0.0298545837968987 0.00389769766134722 0.0209865984539446 0.000616073805700334 0.113093073442075 0.0548296654952308 0.138176163585448 0.142326109871774 0.00728450346440442 0.0286050202087497 0.104113011043815 0.0820290569298226
"85" 0.089737930855171 0.0788880265894418 0.0614517268594299 0.0394748500548668 0.149136970280364 0.0369507263159231 0.000273188341733678 0.0123194288690212 0.0926991675467893 0.0671317800106261 0.00297010172410967 -0.0296764953132424 -0.176092386807301 -0.00456792468129026 0.0898226519563238 0.0479954563086156 0.0444530857080534 0.33846848427716 0.0598336890100339 0.0176101961306774 0.00419319174686211 0.0193749953718787 0.0620517928151479 0.0479579636528548 0.00549669879547097 -0.0586023989260297 0.049249578589673 0.00528779917684881 0.0938088419944853 0.130557745021042 -0.0976839390770424 0.0775298643542425 0.0851496708019367 -0.04246209980968 -0.0214182549032815 0.0705958965002085 0.0873862486627523 -0.051636607307731 0.140040775766973 0.0336124695271983 -0.370695042599588 0.113952557356991 -0.00489861136079552 1.97581407515041 -0.00186969278089516 0.00508973906763816 0.0269889596152104 -0.0289842717689142 0.0386790650535386 0.0092624359884541 -0.0103212191140827 0.00156403375017948 0.0210688647644533 0.0497991142217228 0.0182889568517289 0.153273698372487 0.0701257930547907 0.223408017888611 0.136109009840393 -0.00368991188238372 0.0322232386582056 0.140864564289164 0.121354715839937
"90" 0.0664325600552035 0.184539059470359 0.0562059438161255 0.0869340618062273 0.184278262205647 0.079913737049724 -0.0247490267407158 0.0384121326402524 0.1169176108101 0.0432727487307135 0.00464508595252738 -0.0418696377639887 -0.552675928828716 -0.013699262590163 0.153535768512758 0.047042939688818 0.0583546710952872 0.562702238683534 0.0492480452419222 0.0736298657543526 0.0491910858510765 0.0499851461400535 0.0866774265930127 0.0607384023263511 0.0574028316588928 -0.342916589714438 0.084753739580665 0.0795395692552218 0.126089281192591 0.0871369506893392 -0.0807450648874925 0.102718872994483 0.117584081278511 -0.0186775897579752 0.00978376134818261 0.119116280974135 -0.0217479603086535 -0.000878702579517885 0.0867696808287233 0.0597804395103851 -0.621104796938199 0.15326795745982 0.00852175911523482 2.59720828731147 -0.0309786028937386 0.0249842137198196 0.0587163428543171 0.0233951747880765 -0.00273277905119957 0.102750924135618 0.0233959243875192 -0.0303787087639493 0.093430625877555 0.101643657038113 0.0717947919580741 0.205204335650318 0.095740767368693 0.311600689369575 0.0403154211052792 -0.0151997068421963 0.0391746767149542 0.185908069846116 0.168362620810027
