"age" "country" "eta.1" "eta.1.low" "eta.1.up" "roa.1" "roa.1.low" "roa.1.up" "eta.2" "eta.2.low" "eta.2.up" "roa.2" "roa.2.low" "roa.2.up" "delta" "delta.low" "delta.up"
"22" 36 "Albania" -7.12179996366647 -7.17696931801655 -7.06663060931638 0.0946975539981851 0.0848663025872406 0.10452880540913 -8.37233429992525 -8.46148157764839 -8.28318702220211 0.0958883059475806 0.0837348531784732 0.108041758716688 -0.00119075194939544 -0.0168227677668172 0.0144412638680263
"23" 37 "Albania" -7.02664733630088 -7.08098807299674 -6.97230659960502 0.0948220538546991 0.0852769999894427 0.104367107719955 -8.27750252548074 -8.36450368683673 -8.19050136412474 0.0934884383114056 0.0815408884854816 0.10543598813733 0.00133361554329348 -0.0139586047053684 0.0166258357919553
"24" 38 "Albania" -6.93215585595707 -6.98535221299314 -6.87895949892099 0.0936676017490923 0.0840233247906233 0.103311878707561 -8.18535742330244 -8.2701677397857 -8.10054710681918 0.0906409975288582 0.0787721834408532 0.102509811616863 0.00302660422023404 -0.0122665584973755 0.0183197669378436
"25" 39 "Albania" -6.83931213280269 -6.89115381525497 -6.78747045035042 0.0918362286699406 0.0819191900447526 0.101753267295129 -8.09622053042302 -8.17881707888487 -8.01362398196117 0.0876052218294276 0.0757573471547995 0.0994530965040558 0.00423100684051292 -0.0112195526768368 0.0196815663578626
"26" 40 "Albania" -6.74848339861719 -6.79902425604473 -6.69794254118964 0.0899729015406048 0.0801225344316202 0.0998232686495894 -8.01014697964358 -8.09056631646666 -7.92972764282051 0.0846579879029985 0.072958008555771 0.096357967250226 0.00531491363760628 -0.00997950524338803 0.0206093325186006
"27" 41 "Albania" -6.65936632972149 -6.70870439058148 -6.61002826886149 0.0883853816667139 0.078986523648834 0.0977842396845938 -7.92690455461702 -8.00517469641603 -7.84863441281802 0.0820096846166152 0.0705880683255542 0.0934313009076762 0.00637569705009877 -0.00841591715324276 0.0211673112534403
"28" 42 "Albania" -6.57171263528376 -6.61966860045726 -6.52375667011026 0.0870164422196584 0.0779210185965312 0.0961118658427857 -7.84612761041035 -7.92217817425488 -7.77007704656582 0.079798637990081 0.0685744032951208 0.0910228726850413 0.00721780422957741 -0.00722900079339189 0.0216646092525467
"29" 43 "Albania" -6.48533344528217 -6.53154285943823 -6.43912403112611 0.0858039114761668 0.0765296443927302 0.0950781785596035 -7.76730727863686 -7.84100750048818 -7.69360705678554 0.0781741658646844 0.0669551458763374 0.0893931858530314 0.00762974561148244 -0.00692629916152669 0.0221857903844916
"30" 44 "Albania" -6.40010481233143 -6.44438656389275 -6.3558230607701 0.0846793544959654 0.0750053973882247 0.0943533116037062 -7.68977927868099 -7.76105402880143 -7.61850452856054 0.0772994397760671 0.066001035448834 0.0885978441033003 0.0073799147198983 -0.00749420328635838 0.022254032726155
"31" 45 "Albania" -6.31597473629024 -6.35858966786634 -6.27335980471414 0.0835665702846486 0.0739532834457177 0.0931798571235796 -7.61270839908473 -7.68161214095309 -7.54380465721636 0.0773547634093066 0.0661692398671399 0.0885402869514732 0.00621180687534206 -0.00853713277332176 0.0209607465240059
"32" 46 "Albania" -6.23297167176213 -6.27431521757424 -6.19162812595001 0.0824792569128006 0.0734910380521133 0.0914674757734879 -7.53506975186237 -7.60168948637895 -7.46845001734579 0.0783786612478972 0.0675208007565028 0.0892365217392915 0.00410059566490339 -0.00999483667107682 0.0181960280008836
"33" 47 "Albania" -6.15101622246464 -6.19106751407015 -6.11096493085912 0.0815319901598865 0.0730422960348225 0.0900216842849506 -7.45595107658893 -7.52024646156077 -7.39165569161709 0.0802518218483579 0.0696364051777634 0.0908672385189524 0.00128016831152866 -0.0123125494971909 0.0148728861202482
"34" 48 "Albania" -6.06990769144236 -6.10829961170742 -6.03151577117729 0.0808531088035722 0.0722166775817209 0.0894895400254235 -7.37456610816566 -7.43640926649849 -7.31272294983282 0.0828411385522743 0.0722067043894398 0.0934755727151087 -0.00198802974870205 -0.0156876331814087 0.0117115736840046
"35" 49 "Albania" -5.98931000485749 -6.02586527638947 -5.95275473332551 0.0805848793063415 0.0714605974729443 0.0897091611397387 -7.29026879948438 -7.34962157481719 -7.23091602415158 0.0859992360595472 0.0752300942395673 0.0967683778795271 -0.00541435675320567 -0.019529133921624 0.00870042041521262
"36" 50 "Albania" -5.90873793282967 -5.94388157902819 -5.87359428663115 0.0808834385427168 0.0718290958121238 0.0899377812733099 -7.20256763604656 -7.25960012974883 -7.14553514234429 0.0895640361008425 0.0789379207393609 0.100190151462324 -0.00868059755812567 -0.0226410936080001 0.00527989849174874
"37" 51 "Albania" -5.82754312777206 -5.86186935510927 -5.79321690043485 0.0816702078650851 0.0734177552108983 0.0899226605192718 -7.1111407272827 -7.16606943693275 -7.05621201763265 0.0933136149424825 0.0831464308877018 0.103480798997263 -0.0116434070773974 -0.0247382383635721 0.0014514242087773
"38" 52 "Albania" -5.7453975170995 -5.77886815434251 -5.7119268798565 0.0826098722926774 0.0750298406590715 0.0901899039262832 -7.0159404061616 -7.06876096663652 -6.96311984568668 0.0969593290409474 0.0871354725968578 0.106783185485037 -0.01434945674827 -0.0267577215343127 -0.00194119196222738
"39" 53 "Albania" -5.6623233831867 -5.69435990476913 -5.63028686160428 0.0833341976415487 0.0755633695575432 0.0911050257255542 -6.9172220692008 -6.96776273641596 -6.86668140198565 0.100180454588289 0.090301273375912 0.110059635800665 -0.01684625694674 -0.0294154251983844 -0.00427708869509561
"40" 54 "Albania" -5.57872912181641 -5.60896716097978 -5.54849108265303 0.0834349353624075 0.0749734299203976 0.0918964408044175 -6.81557949698502 -6.86379388482126 -6.76736510914878 0.102616235053916 0.0924779613708951 0.112754508736937 -0.0191812996915086 -0.032386664798805 -0.00597593458421221
"41" 55 "Albania" -5.49545351246189 -5.52438369539069 -5.46652332953309 0.0824558626643803 0.0739540478629362 0.0909576774658244 -6.71198959909297 -6.75817951779979 -6.66579968038616 0.103856631669094 0.093833714798401 0.113879548539788 -0.021400769004714 -0.0345438172628193 -0.00825772074660872
"42" 56 "Albania" -5.41381739648764 -5.44227378309638 -5.38536100987891 0.0804696556422124 0.0728374960178622 0.0881018152665626 -6.60786623364683 -6.65244308504952 -6.56328938224414 0.103839578594279 0.0943998652123503 0.113279291976208 -0.023369922952067 -0.035509035327547 -0.011230810576587
"43" 57 "Albania" -5.33451420117746 -5.36254771831717 -5.30648068403775 0.0781380623052139 0.071280834248022 0.0849952903624059 -6.50431044190441 -6.54733875086428 -6.46128213294455 0.102898957287812 0.093906080576981 0.111891833998644 -0.0247608949825984 -0.0360698917623553 -0.0134518982028414
"44" 58 "Albania" -5.25754127187722 -5.28450934126333 -5.23057320249111 0.0761903139262676 0.0690991267308535 0.0832815011216817 -6.40206831907121 -6.4433327783379 -6.36080385980451 0.101411389074102 0.0922956913014078 0.110527086846795 -0.0252210751478339 -0.0367701392537906 -0.0136720110418772
"45" 59 "Albania" -5.18213357332493 -5.20765939021624 -5.15660775643361 0.0754179431423259 0.0675301807605388 0.0833057055241129 -6.30148766375621 -6.3409566833568 -6.26201864415562 0.0997958868711368 0.0902677569533213 0.109324016788952 -0.024377943728811 -0.0367473436787805 -0.0120085437788415
"46" 60 "Albania" -5.10670538559256 -5.13143539225542 -5.08197537892971 0.0766672976905074 0.0687350133290246 0.0845995820519902 -6.20247654532893 -6.24063830274961 -6.16431478790825 0.098511885817862 0.0890762320649945 0.107947539570729 -0.0218445881273546 -0.0341714975914265 -0.00951767866328261
"47" 61 "Albania" -5.02879897794391 -5.05366946420316 -5.00392849168467 0.0799928287100795 0.0730103430408285 0.0869753143793306 -6.10446389212049 -6.14191757640615 -6.06701020783482 0.0977676512599044 0.0890446802442621 0.106490622275547 -0.0177748225498249 -0.028948243219478 -0.00660140188017178
"48" 62 "Albania" -4.94671972817241 -4.97166161017724 -4.92177784616758 0.0846082141030045 0.078429635956345 0.0907867922496639 -6.00694124280912 -6.04373501918952 -5.97014746642873 0.0974979937775946 0.0893126288636907 0.105683358691498 -0.0128897796745902 -0.0231452673123452 -0.00263429203683512
"49" 63 "Albania" -4.8595825497379 -4.88376383585866 -4.83540126361715 0.0896817645168779 0.0831566203188511 0.0962069087149048 -5.9094679045653 -5.94523707956603 -5.87369872956457 0.0976327341194914 0.0892457901054758 0.106019678133507 -0.00795096960261343 -0.0185772736025597 0.00267533439733288
"50" 64 "Albania" -4.76735619913865 -4.79030686622773 -4.74440553204957 0.094339872977776 0.0869010972926439 0.101778648662908 -5.81167577457014 -5.8462855779965 -5.77706597114378 0.098097207477494 0.089157429871024 0.107036985083964 -0.00375733449971793 -0.0153872531299945 0.00787258413055863
"51" 65 "Albania" -4.67090280378235 -4.69331208382019 -4.64849352374451 0.0976710030428203 0.0901593010126861 0.105182705072954 -5.71327348961031 -5.74722192521854 -5.67932505400208 0.0988128909838784 0.0899311476023194 0.107694634365437 -0.00114188794105807 -0.0127742150034041 0.0104904391212879
"52" 66 "Albania" -4.57201419305301 -4.59485039997029 -4.54917798613573 0.0996850322813563 0.0931671760307523 0.10620288853196 -5.61404999260238 -5.6479052987353 -5.58019468646947 0.0997796905039499 0.0916769547645755 0.107882426243324 -9.46582225935799e-05 -0.0104935416513888 0.0103042252062016
"53" 67 "Albania" -4.47153273921964 -4.49464004052532 -4.44842543791396 0.101348407468884 0.0957100606740452 0.106986754263722 -5.51371410860241 -5.54735074925194 -5.48007746795288 0.101079171431191 0.0935455061723491 0.108612836690034 0.000269236037692355 -0.00914070906369653 0.00967918113908124
"54" 68 "Albania" -4.36931737811524 -4.39170373574993 -4.34693102048056 0.103663109226655 0.0976850476084283 0.109641170844882 -5.41189164974 -5.44471326665626 -5.37907003282374 0.102795905757122 0.0949702302523636 0.11062158126188 0.000867203469533173 -0.00898055860197756 0.0107149655410439
"55" 69 "Albania" -4.26420652076633 -4.28522162405604 -4.24319141747662 0.107672996326599 0.100717733665459 0.11462825898774 -5.30812229708817 -5.33982373642077 -5.27642085775556 0.105017976205927 0.0965123635278626 0.113523588883992 0.00265502012067209 -0.00833229646322189 0.0136423367045661
"56" 70 "Albania" -4.15397138546204 -4.17420996437504 -4.13373280654905 0.114473655912906 0.107370703579926 0.121576608245885 -5.20185569732815 -5.23289290636066 -5.17081848829563 0.107837749119767 0.0993455148014026 0.116329983438132 0.00663590679313852 -0.00443522573983137 0.0177070393261084
