"ALB" "ARM" "AUS" "AUT" "BEL" "BGR" "BRA" "CAN" "CHE" "CHL" "COL" "CRI" "CUB" "CYP" "CZE" "DEU" "DNK" "DOM" "ESP" "EST" "FIN" "FRA" "GBR" "GEO" "GRC" "GTM" "HRV" "HUN" "IRL" "IRQ" "ISL" "ISR" "ITA" "JPN" "KAZ" "KOR" "LTU" "LUX" "LVA" "MDA" "MEX" "MLT" "MNE" "MNG" "MUS" "NLD" "NOR" "NZL" "PER" "POL" "PRT" "PRY" "ROU" "SRB" "SVK" "SVN" "SWE" "SYC" "UKR" "URY" "USA" "ZAF" "ZMB"
"45" 0.0613808466673126 -0.265583235050843 0.045509761440946 -0.0437218046532674 0.0470358297976471 0.0871027932486483 0.115172882988365 0.0528224926591967 -0.112792217791723 0.0808638824814285 0.121419885911681 0.0644242207641628 0.211086824718535 -0.00573208583836133 -0.0168970710944056 0.0415805142896426 -0.0678008075125637 -0.0591497172530833 -0.0511108177176349 0.101316354643494 -0.0234961295905932 -0.0447975780068129 0.0695038842474478 -0.0164282477224381 -0.0150658889208068 0.333370175151368 -0.113229752796873 -0.0644232712032032 -0.0327037401388171 0.117264381673725 -0.0155578131072662 0.0243141754642246 -0.00279933016969105 -0.000776308418816414 0.0525416855318916 0.0739356746996815 0.152775990262393 -0.0120443143125446 -0.00579599188126998 -0.0458423435868696 0.0292568813287135 0.0877468854539279 -0.0272260689228339 -1.15176822373657 -0.00806110105862192 -0.0181388114772261 -0.0195673509464295 0.0217563115191227 0.379038005093432 -0.0386156403926082 -0.0382568521300019 0.131162675934812 -0.00741255372172734 0.00855599963376319 -0.0716928461055644 -0.0736975298247543 -0.0986508657427111 -0.0183065613848175 0.0498572138998904 0.0388203387538518 0.0954946126239416 -0.101459669029438 -0.0755002474981116
"50" 0.102250357678349 -0.39633698004337 0.057554471324979 -0.0407052550172032 0.0434701506850824 0.0936535904953059 0.116517174102467 0.0140949201140815 -0.115521515934033 0.106111772713994 0.152912749164695 0.0906585892892041 0.214364824860467 0.00141731989140595 -0.0180503076363441 0.0236863045851708 -0.0771031414664556 -0.0164566880853741 -0.0454485755214817 0.107093610829645 -0.0414302621464153 -0.0566563403133938 0.0848570231338022 0.023476962344371 -0.00588882104645152 0.423755615148552 -0.0934067414052042 -0.052058382311281 0.00151644582422816 0.159417290627058 -0.0276618889759046 0.0422764081843714 0.0150707600304754 -0.00481119840021752 0.072432037088186 0.0796360250384408 0.168863880566068 -0.000584982117937701 0.0100061876573581 -0.0269764342636789 0.183566640049534 0.0886430766328524 -0.00365915010252877 -1.13602969625379 -0.0305901529870549 -0.0423988463249831 -0.0341329879793652 0.0168582309872575 0.515757084723896 -0.0578050476340596 -0.0241268322748491 0.14837229257468 0.0174371486758599 0.0120189388445415 -0.0691708047366743 -0.0727179101236434 -0.0747080670723472 -0.00730106456987245 0.0659002557405369 0.0188357198469256 0.0481707784410655 -0.039777476224363 -0.0412527734082246
"55" 0.132686135871088 -0.448267556896968 0.0645183012589994 -0.0335215441926805 0.0441672844797549 0.102726152302298 0.118485548662857 -0.0122311660359894 -0.108961833348179 0.127394392142984 0.182451231902391 0.110548998679185 0.223577111301086 0.0037620068223416 -0.0140065032864764 0.0240432380583402 -0.0677898991517378 0.00246215053227067 -0.00988214322401516 0.10071519528768 -0.056805720213035 -0.0531912925260031 0.0796866141841793 0.0614699474924018 0.0149009469534288 0.501150685341861 -0.0654260502134271 -0.0240564323851155 0.0319041483610319 0.174665295529506 -0.0409168485865292 0.065405810074127 0.0410584551022033 -0.0147532076977697 0.0764499162205317 0.075368015157538 0.180161262210677 0.00982969787844458 0.0264971319734774 -0.00512960010839722 0.298740710836706 0.0849510082607259 0.0222780239784299 -1.02050247295267 -0.0549182109489183 -0.0594980725810504 -0.0426917647374026 0.00668051946626857 0.606930913433752 -0.0579217613710001 0.00332399748444383 0.161643136541106 0.0537859169055369 0.0232837952932225 -0.0561605225535265 -0.0671752143772969 -0.0537763739323392 0.00379742805606687 0.0825261310039729 0.00711282685173691 0.0348866007389474 0.0317089798945175 -0.0201669408555315
"60" 0.149037112592123 -0.43947433128567 0.0654368981174653 -0.018449621246994 0.0576553770545195 0.11794990970761 0.131777234292999 -0.0261048671404969 -0.0916309337856597 0.129336653177152 0.199674317430319 0.121510955840522 0.240194931182475 0.00017500887805857 -0.000963760384121879 0.044931440482567 -0.0459209445948985 0.00120959659100361 0.0391238821055456 0.0865530176484851 -0.0690043008278323 -0.0275289974246688 0.0631993681814831 0.0930139207738994 0.042150265465404 0.55029082600844 -0.0322760622373766 0.00576063662311585 0.0531914405843377 0.176490600059451 -0.0548943755095084 0.0822594472520286 0.073763743154183 -0.026473693869901 0.0945104063135383 0.0625695462753419 0.199138657198709 0.0196128840845115 0.0521700918969141 0.0277559383442069 0.369629105163298 0.0800360322294105 0.0492929638116579 -0.765792524174698 -0.0791382917358859 -0.0564478913668269 -0.0445419556478817 -0.00611259020502192 0.628275884376025 -0.010822091092164 0.0253868746501541 0.164702296968649 0.0895259411256952 0.0434600724515452 -0.030804191537025 -0.0505796964765515 -0.0409228280461021 0.0158793212768215 0.0992841813596812 0.00222465339377775 0.0357024690014138 0.0887657703340603 -0.00861356274767072
"65" 0.14875445201738 -0.401272828772129 0.0601415888021462 0.00323294299351269 0.0820984466809048 0.134328725869972 0.143698878751603 -0.035615534795143 -0.0659726484835287 0.112325899514029 0.190460477737247 0.119924150461203 0.260850154000578 -0.00649649051130164 0.0240606158373862 0.0701943940151139 -0.0277364892294787 -0.0029361841777957 0.0784934976523456 0.0703549870068343 -0.0794908424285872 0.00836269019647779 0.0468381981965225 0.110895985241073 0.0602142263110754 0.565137167803575 -0.00341072073975212 0.0262848359857388 0.0617141657475846 0.180060167142023 -0.0686561121955703 0.0864281754031713 0.105227042653664 -0.0149284045083516 0.144096674494118 0.04467601219678 0.226058273539132 0.0305483416517627 0.0863699032903966 0.0748444216091669 0.394906757139809 0.0774429591117902 0.0760574303499285 -0.372798761345473 -0.101474834841868 -0.0355423135500952 -0.0429853411975354 -0.0214919700297198 0.573254825161454 0.0614651389986145 0.0266922573493471 0.154249459164394 0.111830674930714 0.0529850908665771 0.00321871993650488 -0.0237828188935061 -0.0358088574716783 0.0302311174546891 0.118777473537199 0.00204928003051111 0.0316788537187225 0.126797737196026 0.00146236036929246
"70" 0.133513259004956 -0.363538243223564 0.0504939347963951 0.0239814858856203 0.106462514550395 0.138970897930084 0.134974431783985 -0.0454483120661694 -0.0372430240396438 0.0934596702124952 0.1570928899292 0.105213594037029 0.273863032754268 -0.00992642697644754 0.0587764372643877 0.0753600028322995 -0.02262567439895 0.0168054607424913 0.092862031926409 0.0569039978747146 -0.0882809630005919 0.0320145418112794 0.0396176373889296 0.112099684013838 0.0564413359334476 0.542613191030757 0.00859555143433005 0.0325593638073079 0.0600490550974643 0.191808482854886 -0.0810900927402008 0.0832155675782488 0.121329840538401 0.0177958200042489 0.202853346277187 0.0294557413734071 0.241765764014607 0.0450810102120411 0.118829029903833 0.12585096526357 0.39165938464644 0.0792841057731148 0.100163616636554 0.118893065642877 -0.118817543008934 -0.0113535357908014 -0.0404558641200913 -0.0384117015000685 0.461235597386937 0.0967222692552776 0.0075147967646622 0.132506612731163 0.115219790100551 0.0324581172706026 0.0360061594259642 0.00650573286614032 -0.0317008576122893 0.0483297469059385 0.147139890603583 0.00634208917881957 0.0285752632788474 0.158904232249914 0.018054479124788
"75" 0.112123681915228 -0.335322735268459 0.0417711095881569 0.0359416616264761 0.124968856559512 0.123742241793959 0.116887501414941 -0.0434249465114131 -0.00779221646511616 0.0840992741088287 0.123572329039565 0.0853678601754626 0.245577459444067 -0.00447701316154624 0.0913605669844406 0.0577189786058605 -0.0127291786408049 0.0872036590922616 0.0897327418117806 0.0500475447882616 -0.0905024172937839 0.0328956946663136 0.0517619601991624 0.10863076139893 0.0420761460948959 0.458320739653128 0.00305734132311788 0.0243987332968937 0.0606742037489857 0.20633878761134 -0.0912229424516416 0.0847711010487233 0.107424965305253 -0.0129396617271183 0.204743889486938 0.0310631111238339 0.215958125257404 0.0639206093914225 0.139172736380548 0.156887014982919 0.392920800694178 0.084393749356824 0.116808477457587 0.660713358405853 -0.126557786616836 0.00592951747729585 -0.0320332495167915 -0.0475897425281452 0.32598842704745 0.0767266740343249 -0.0134049337331956 0.104901215940663 0.110965701177843 0.003603686773247 0.0585178553405251 0.0382704745158854 -0.0176765577800774 0.0713325676412675 0.182543407052625 0.01522229963945 0.0264050642941381 0.18493291760818 0.046135157871285
"80" 0.0953723879885291 -0.300934063785925 0.0400465906004198 0.048668017901854 0.145371977116383 0.111934654108195 0.0842819856643961 -0.0229049549304087 0.0255188383807155 0.076003720347573 0.0931068102511387 0.0670943814507113 0.117604511507535 0.0129985645737268 0.113062442122735 0.056086912697598 0.0118938600422484 0.221277466804292 0.0904937624391504 0.0554196485750469 -0.080272679639998 0.0229203647301989 0.0673299028430499 0.115669564965966 0.0329252962228096 0.283848195986326 0.0167481946310766 0.0191349801022649 0.0745118889479637 0.216278333968231 -0.0980218593790818 0.0918721049618157 0.0832974113592109 -0.0556842491615904 0.164866343574008 0.0619876195834903 0.15359579944779 0.086667675116529 0.147587813545039 0.175060804941081 0.460236913374659 0.0893743786091297 0.122619325713658 1.22252095252098 -0.122204360678668 0.0076001615490142 -0.011133992166289 -0.0353236882134035 0.204464632163596 0.0622391428715922 -0.0191074033446272 0.073571192409506 0.110978036129164 0.0037531517042113 0.0727242263312939 0.0799820597727668 0.00830407520403233 0.0994074505075897 0.226191911557311 0.0242933058611323 0.00488980676607763 0.21614398052371 0.0871285047645942
"85" 0.0860130395487097 -0.245229606610852 0.0471026571673227 0.0801692870642182 0.184897219812644 0.120172463154467 0.0567848215107829 0.0141106831741252 0.0666094436074383 0.061710519291393 0.0675243234619745 0.0523732823065492 -0.128725242903603 0.0416596144856376 0.132590679839446 0.0721321870925774 0.04951843983209 0.407376086331538 0.0982135739833859 0.0737524776973475 -0.05229176394025 0.034734092459181 0.0811104632138403 0.135292421067253 0.0359636893107508 0.0235313146179978 0.0764117716562575 0.0412052204471842 0.10266234066755 0.217652624185163 -0.0997200986507645 0.099518466338026 0.0845451708536394 -0.0506144287293552 0.118902865190103 0.121495953764473 0.0722218906658142 0.113158682805261 0.148042156529057 0.192074815843483 0.591327313906451 0.0921921202030863 0.119104016290284 1.7906225269401 -0.104967602868478 0.00764281765370827 0.0270623577359517 0.0042150724437018 0.111381254900416 0.102995041044842 0.00787171266482742 0.0403464981580378 0.126897420587176 0.0488800673193856 0.0851653517643998 0.140373857918089 0.0476864585144546 0.131538770691779 0.227043939679414 0.0298887133324368 -0.0150340391736488 0.242937629847726 0.138583127728977
"90" 0.0792792965243919 -0.168377598656242 0.0599706736639228 0.13996512701768 0.254798874970513 0.143240115328518 0.0473674009773652 0.0606145210071581 0.115920138403012 0.0411802571967914 0.0524526202203889 0.0396362606453086 -0.456077463928753 0.0774633762260074 0.166138846821151 0.0623179211294048 0.0927974177110931 0.617803781655368 0.098702254461662 0.100000486514891 -0.00584848692977596 0.0943256439294557 0.104390472434018 0.158550653331346 0.0476187064117022 -0.285569553846823 0.17551610703763 0.102246914757367 0.138310759382738 0.211450642356899 -0.0954348750639462 0.104359460145252 0.130131457353276 -0.00524293865085509 0.0817503950776075 0.197161495865089 -0.0162100140225477 0.143152236172193 0.1441939238939 0.209647963495372 0.685281631113417 0.0932734452526403 0.111242727944888 2.36057245356179 -0.0766401395281457 0.0302122979993205 0.081549018511796 0.0652195824221698 0.0339548197817234 0.196085388219149 0.0762259707320344 0.00741123416604792 0.164013645504463 0.125750171311786 0.100336165673526 0.219873318296373 0.101833368473018 0.166062383779636 0.126823142990906 0.0319256513528994 0.00967356510484298 0.243819702155489 0.195752896499217
