"age" "sex" "iso3" "deltas"
"290" 5 "Female" "CAN" -0.0607371612663819
"291" 10 "Female" "CAN" -0.00501766648279726
"292" 15 "Female" "CAN" 0.0401273613466837
"293" 20 "Female" "CAN" 0.0710352858916561
"294" 25 "Female" "CAN" 0.0849762369795264
"295" 30 "Female" "CAN" 0.0810211419218306
"296" 35 "Female" "CAN" 0.0596838563185666
"297" 40 "Female" "CAN" 0.026146798621931
"298" 45 "Female" "CAN" -0.00895779274507948
"299" 50 "Female" "CAN" -0.0362364828674568
"300" 55 "Female" "CAN" -0.0493112834662277
"301" 60 "Female" "CAN" -0.0468050070676566
"302" 65 "Female" "CAN" -0.0427867307915757
"303" 70 "Female" "CAN" -0.049764430296762
"304" 75 "Female" "CAN" -0.0524429348324207
"305" 80 "Female" "CAN" -0.0271005553227073
"306" 85 "Female" "CAN" 0.0733837898920724
"307" 0 "Male" "CAN" -0.185394216670141
"308" 5 "Male" "CAN" -0.120529228361726
"309" 10 "Male" "CAN" -0.0592863934627558
"310" 15 "Male" "CAN" -0.00618874431892453
"311" 20 "Male" "CAN" 0.0375642746690384
"312" 25 "Male" "CAN" 0.0719952261848057
"313" 30 "Male" "CAN" 0.0941972297537186
"314" 35 "Male" "CAN" 0.0992423102578748
"315" 40 "Male" "CAN" 0.0851221276544004
"316" 45 "Male" "CAN" 0.0533633726747127
"317" 50 "Male" "CAN" 0.0108659826883276
"318" 55 "Male" "CAN" -0.0254249624537365
"319" 60 "Male" "CAN" -0.0445274129193417
"320" 65 "Male" "CAN" -0.0590788441449458
"321" 70 "Male" "CAN" -0.0809481189561378
"322" 75 "Male" "CAN" -0.0889408169684724
"323" 80 "Male" "CAN" -0.0520945434083468
"324" 85 "Male" "CAN" 0.0985964694815313
"325" 0 "Female" "CHE" -0.00936476306811758
"326" 5 "Female" "CHE" 0.00158085492540616
"327" 10 "Female" "CHE" 0.00940179455798853
"328" 15 "Female" "CHE" 0.0112859328598881
"329" 20 "Female" "CHE" 0.00623855996043757
"330" 25 "Female" "CHE" -0.00585477641900003
"331" 30 "Female" "CHE" -0.0238318073186659
"332" 35 "Female" "CHE" -0.0455966888625436
"333" 40 "Female" "CHE" -0.0685382644229641
"334" 45 "Female" "CHE" -0.0894556531084856
"335" 50 "Female" "CHE" -0.104279615555374
"336" 55 "Female" "CHE" -0.107319953934446
"337" 60 "Female" "CHE" -0.0956173684513914
"338" 65 "Female" "CHE" -0.0758935884150289
"339" 70 "Female" "CHE" -0.0550038759315315
"340" 75 "Female" "CHE" -0.0288711882655261
"341" 80 "Female" "CHE" 0.010118110002
"342" 85 "Female" "CHE" 0.0985908296456706
"343" 0 "Male" "CHE" -0.00387023477773062
"344" 5 "Male" "CHE" 0.0184149707611997
"345" 10 "Male" "CHE" 0.0362889655826294
"346" 15 "Male" "CHE" 0.0453974442527896
"347" 20 "Male" "CHE" 0.0430182771306046
"348" 25 "Male" "CHE" 0.0273977802555468
"349" 30 "Male" "CHE" 0.000344129943863887
"350" 35 "Male" "CHE" -0.0337499008659529
"351" 40 "Male" "CHE" -0.0698162238888381
"352" 45 "Male" "CHE" -0.102056266592853
"353" 50 "Male" "CHE" -0.124375773676926
"354" 55 "Male" "CHE" -0.130187906221314
"355" 60 "Male" "CHE" -0.115458815465163
"356" 65 "Male" "CHE" -0.0848150197650415
"357" 70 "Male" "CHE" -0.0446337880799784
"358" 75 "Male" "CHE" -0.00103886554929919
"359" 80 "Male" "CHE" 0.040481228964167
"360" 85 "Male" "CHE" 0.100805064890704
"361" 0 "Female" "CHL" -0.261899194193238
"362" 5 "Female" "CHL" -0.171011710706606
"363" 10 "Female" "CHL" -0.0860257669806421
"364" 15 "Female" "CHL" -0.0131076629436739
"365" 20 "Female" "CHL" 0.0437274667120771
"366" 25 "Female" "CHL" 0.0817344482484397
"367" 30 "Female" "CHL" 0.102775317782752
"368" 35 "Female" "CHL" 0.112064913831114
"369" 40 "Female" "CHL" 0.115997414284488
"370" 45 "Female" "CHL" 0.122224438522449
"371" 50 "Female" "CHL" 0.133055132008921
"372" 55 "Female" "CHL" 0.140278359561956
"373" 60 "Female" "CHL" 0.137759785078276
"374" 65 "Female" "CHL" 0.130268623396968
"375" 70 "Female" "CHL" 0.123573382141486
"376" 75 "Female" "CHL" 0.116086995049109
"377" 80 "Female" "CHL" 0.103770150108957
"378" 85 "Female" "CHL" 0.0727842778387924
"379" 0 "Male" "CHL" -0.220049396473386
"380" 5 "Male" "CHL" -0.16817563467038
"381" 10 "Male" "CHL" -0.115403707609466
"382" 15 "Male" "CHL" -0.0637967072366226
"383" 20 "Male" "CHL" -0.0174895494931003
"384" 25 "Male" "CHL" 0.0187331145524569
"385" 30 "Male" "CHL" 0.0434336391844834
"386" 35 "Male" "CHL" 0.0577572599882864
"387" 40 "Male" "CHL" 0.0681950766593418
"388" 45 "Male" "CHL" 0.0873854068398801
"389" 50 "Male" "CHL" 0.118192702180381
"390" 55 "Male" "CHL" 0.143805980526862
"391" 60 "Male" "CHL" 0.150145848385998
"392" 65 "Male" "CHL" 0.139700309239241
"393" 70 "Male" "CHL" 0.118895021336873
"394" 75 "Male" "CHL" 0.0971069654235134
"395" 80 "Male" "CHL" 0.0837839842042902
"396" 85 "Male" "CHL" 0.0747587295597757
"397" 0 "Female" "COL" -0.441839684753594
"398" 5 "Female" "COL" -0.25724553034774
"399" 10 "Female" "COL" -0.0969452315783958
"400" 15 "Female" "COL" 0.0251265557597693
"401" 20 "Female" "COL" 0.109121630168159
"402" 25 "Female" "COL" 0.161525125090643
"403" 30 "Female" "COL" 0.192073870652416
"404" 35 "Female" "COL" 0.212652837617735
"405" 40 "Female" "COL" 0.229604637920253
"406" 45 "Female" "COL" 0.242694080124359
"407" 50 "Female" "COL" 0.252238929945962
"408" 55 "Female" "COL" 0.260363647740787
"409" 60 "Female" "COL" 0.265093766584908
"410" 65 "Female" "COL" 0.250162924182447
"411" 70 "Female" "COL" 0.202440961695847
"412" 75 "Female" "COL" 0.144402357726361
"413" 80 "Female" "COL" 0.108157945282389
"414" 85 "Female" "COL" 0.0815483321092983
"415" 0 "Male" "COL" -0.477121165218168
"416" 5 "Male" "COL" -0.327432573152056
"417" 10 "Male" "COL" -0.197693692573841
"418" 15 "Male" "COL" -0.0939359675068022
"419" 20 "Male" "COL" -0.0106651522825055
"420" 25 "Male" "COL" 0.0621486187470608
"421" 30 "Male" "COL" 0.12842048417478
"422" 35 "Male" "COL" 0.187610458564278
"423" 40 "Male" "COL" 0.238011985755181
"424" 45 "Male" "COL" 0.276678537944678
"425" 50 "Male" "COL" 0.302833038881641
"426" 55 "Male" "COL" 0.320051316918277
"427" 60 "Male" "COL" 0.329002496140586
"428" 65 "Male" "COL" 0.319049550975522
"429" 70 "Male" "COL" 0.281470119905533
"430" 75 "Male" "COL" 0.232400966903794
"431" 80 "Male" "COL" 0.194226217046609
"432" 85 "Male" "COL" 0.135830936564315
"433" 0 "Female" "CRI" -0.113837894851722
"434" 5 "Female" "CRI" -0.0683411127839204
"435" 10 "Female" "CRI" -0.0248586357405147
"436" 15 "Female" "CRI" 0.014137452682554
"437" 20 "Female" "CRI" 0.0475774100298233
"438" 25 "Female" "CRI" 0.0750513965121599
"439" 30 "Female" "CRI" 0.0968724701396154
"440" 35 "Female" "CRI" 0.113818921078361
"441" 40 "Female" "CRI" 0.124981019429747
"442" 45 "Female" "CRI" 0.127467205052237
"443" 50 "Female" "CRI" 0.120567546955474
"444" 55 "Female" "CRI" 0.108031918548424
"445" 60 "Female" "CRI" 0.0934306994461494
"446" 65 "Female" "CRI" 0.0780380876702733
"447" 70 "Female" "CRI" 0.0619982133203397
"448" 75 "Female" "CRI" 0.0416339210922556
"449" 80 "Female" "CRI" 0.0122996535195468
"450" 85 "Female" "CRI" -0.0480486736880877
"451" 0 "Male" "CRI" -0.112447758027422
"452" 5 "Male" "CRI" -0.121238397780053
"453" 10 "Male" "CRI" -0.125079512467616
"454" 15 "Male" "CRI" -0.121420912451465
"455" 20 "Male" "CRI" -0.10715887013664
"456" 25 "Male" "CRI" -0.0793789410117651
"457" 30 "Male" "CRI" -0.0409873126840173
"458" 35 "Male" "CRI" 0.000975873198409908
"459" 40 "Male" "CRI" 0.0413156080947652
"460" 45 "Male" "CRI" 0.0771287198424905
"461" 50 "Male" "CRI" 0.106914192287356
"462" 55 "Male" "CRI" 0.131639712146987
"463" 60 "Male" "CRI" 0.150864649444844
"464" 65 "Male" "CRI" 0.158533323816968
"465" 70 "Male" "CRI" 0.148827985037436
"466" 75 "Male" "CRI" 0.124113388382214
"467" 80 "Male" "CRI" 0.0895811756666327
"468" 85 "Male" "CRI" 0.0272820954740943
"469" 0 "Female" "CYP" -0.0841999520588424
"470" 5 "Female" "CYP" -0.0576001653275723
"471" 10 "Female" "CYP" -0.0321608928484532
"472" 15 "Female" "CYP" -0.00891885311964664
"473" 20 "Female" "CYP" 0.010932940395301
"474" 25 "Female" "CYP" 0.026188428459803
"475" 30 "Female" "CYP" 0.0363823617824073
"476" 35 "Female" "CYP" 0.0415932115786596
"477" 40 "Female" "CYP" 0.0422145076858651
"478" 45 "Female" "CYP" 0.03900431677189
"479" 50 "Female" "CYP" 0.0336484974595258
"480" 55 "Female" "CYP" 0.0295948333481836
"481" 60 "Female" "CYP" 0.0294640968959888
"482" 65 "Female" "CYP" 0.0324606657280131
"483" 70 "Female" "CYP" 0.0368905697846566
"484" 75 "Female" "CYP" 0.0399469504595139
"485" 80 "Female" "CYP" 0.0387091035260353
"486" 85 "Female" "CYP" 0.0298225739891607
"487" 0 "Male" "CYP" -0.141069966142108
"488" 5 "Male" "CYP" -0.129293519915836
"489" 10 "Male" "CYP" -0.116324360195525
"490" 15 "Male" "CYP" -0.101708852890349
"491" 20 "Male" "CYP" -0.0855525062252294
"492" 25 "Male" "CYP" -0.0681758613686573
"493" 30 "Male" "CYP" -0.0495349073871485
"494" 35 "Male" "CYP" -0.0293481664878043
"495" 40 "Male" "CYP" -0.00814527946325787
"496" 45 "Male" "CYP" 0.0125775543082365
"497" 50 "Male" "CYP" 0.0306907711293719
"498" 55 "Male" "CYP" 0.0429422887260914
"499" 60 "Male" "CYP" 0.0480301054830535
"500" 65 "Male" "CYP" 0.0515519163803521
"501" 70 "Male" "CYP" 0.0598566043392985
"502" 75 "Male" "CYP" 0.0753324878993138
"503" 80 "Male" "CYP" 0.0987050168921947
"504" 85 "Male" "CYP" 0.144270673038971
"505" 0 "Female" "CZE" -0.198134515014564
"506" 5 "Female" "CZE" -0.165896464043364
"507" 10 "Female" "CZE" -0.132133784895759
"508" 15 "Female" "CZE" -0.0969158786314173
"509" 20 "Female" "CZE" -0.0612392784807175
"510" 25 "Female" "CZE" -0.0265550445282726
"511" 30 "Female" "CZE" 0.00496014804238094
"512" 35 "Female" "CZE" 0.0306285146790691
"513" 40 "Female" "CZE" 0.0484113825706228
"514" 45 "Female" "CZE" 0.057059032643049
"515" 50 "Female" "CZE" 0.0581442052192105
"516" 55 "Female" "CZE" 0.0586358238900662
"517" 60 "Female" "CZE" 0.0655399265446535
"518" 65 "Female" "CZE" 0.083928185282948
"519" 70 "Female" "CZE" 0.115941986222587
"520" 75 "Female" "CZE" 0.14895106238238
"521" 80 "Female" "CZE" 0.166092047550763
"522" 85 "Female" "CZE" 0.15371021203025
"523" 0 "Male" "CZE" -0.126474333328061
"524" 5 "Male" "CZE" -0.119232978729622
"525" 10 "Male" "CZE" -0.106573467632579
"526" 15 "Male" "CZE" -0.086791216120852
"527" 20 "Male" "CZE" -0.0612887077555043
"528" 25 "Male" "CZE" -0.0329757904636241
"529" 30 "Male" "CZE" -0.00697850283056844
"530" 35 "Male" "CZE" 0.010168872272273
"531" 40 "Male" "CZE" 0.017720907696509
"532" 45 "Male" "CZE" 0.0217769035442009
"533" 50 "Male" "CZE" 0.0273860311645897
"534" 55 "Male" "CZE" 0.0367941798753967
"535" 60 "Male" "CZE" 0.0523149640197669
"536" 65 "Male" "CZE" 0.0775556319730305
"537" 70 "Male" "CZE" 0.113534612767677
"538" 75 "Male" "CZE" 0.144587500316292
"539" 80 "Male" "CZE" 0.150599426238906
"540" 85 "Male" "CZE" 0.109378610207322
"541" 0 "Female" "DEU" -0.769062145807703
"542" 5 "Female" "DEU" -0.731659894914231
"543" 10 "Female" "DEU" -0.674493861221731
"544" 15 "Female" "DEU" -0.586611004260894
"545" 20 "Female" "DEU" -0.466434336868552
"546" 25 "Female" "DEU" -0.317996677030957
"547" 30 "Female" "DEU" -0.166424054671945
"548" 35 "Female" "DEU" -0.0513923610509142
"549" 40 "Female" "DEU" 0.00722866759808077
"550" 45 "Female" "DEU" 0.0133986694060986
"551" 50 "Female" "DEU" -0.0134417254675807
"552" 55 "Female" "DEU" -0.0264315808784562
"553" 60 "Female" "DEU" 0.00279296254573353
"554" 65 "Female" "DEU" 0.0307547387948008
"555" 70 "Female" "DEU" 0.0161200007145884
"556" 75 "Female" "DEU" 0.0169849463153451
"557" 80 "Female" "DEU" 0.126243333686143
"558" 85 "Female" "DEU" 0.666112205169142
"559" 0 "Male" "DEU" -0.545386813389355
"560" 5 "Male" "DEU" -0.544561028084126
"561" 10 "Male" "DEU" -0.512708811720155
"562" 15 "Male" "DEU" -0.431364857523003
"563" 20 "Male" "DEU" -0.294822867920358
"564" 25 "Male" "DEU" -0.105860926230198
"565" 30 "Male" "DEU" 0.0924925109772287
"566" 35 "Male" "DEU" 0.229727500502126
"567" 40 "Male" "DEU" 0.282229245658643
"568" 45 "Male" "DEU" 0.282314837807699
"569" 50 "Male" "DEU" 0.261699629932084
"570" 55 "Male" "DEU" 0.244694363062892
"571" 60 "Male" "DEU" 0.247731078918948
"572" 65 "Male" "DEU" 0.263918306953319
