Country,iso3,WHO_region,Cluster
Micronesia (Federated States of),FSM,WPRO,6
Monaco,MCO,EURO,5
Mongolia,MNG,WPRO,6
Montenegro,MNE,EURO,4
Morocco,MAR,EMRO,3
Mozambique,MOZ,AFRO,3
Myanmar,MMR,SEARO,6
Namibia,"NAM",AFRO,3
Nauru,NRU,WPRO,6
Nepal,NPL,SEARO,3
Netherlands,NLD,EURO,4
New Zealand,NZL,WPRO,7
Nicaragua,NIC,AMRO,3
Niger,NER,AFRO,3
Nigeria,NGA,AFRO,3
Niue,NIU,WPRO,6
North Macedonia,MKD,EURO,2
Norway,NOR,EURO,1
Oman,OMN,EMRO,6
Pakistan,PAK,EMRO,3
Palau,PLW,WPRO,7
Panama,PAN,AMRO,3
Papua New Guinea,PNG,WPRO,6
Paraguay,PRY,AMRO,6
Peru,PER,AMRO,8
Philippines,PHL,WPRO,6
Poland,POL,EURO,2
Portugal,PRT,EURO,4
Qatar,QAT,EMRO,6
Republic of Korea,KOR,WPRO,1
Republic of Moldova,MDA,EURO,2
Romania,ROU,EURO,2
Russian Federation,RUS,EURO,2
Rwanda,RWA,AFRO,6
Saint Kitts and Nevis,KNA,AMRO,7
Saint Lucia,LCA,AMRO,6
Saint Vincent and the Grenadines,VCT,AMRO,6
Samoa,WSM,WPRO,6
San Marino,SMR,EURO,2
Sao Tome and Principe,STP,AFRO,3
Saudi Arabia,SAU,EMRO,6
Senegal,SEN,AFRO,3
Serbia,SRB,EURO,2
Seychelles,SYC,AFRO,7
Sierra Leone,SLE,AFRO,3
Singapore,SGP,WPRO,1
Slovakia,SVK,EURO,4
Slovenia,SVN,EURO,2
Solomon Islands,SLB,WPRO,6
Somalia,SOM,EMRO,3
South Africa,ZAF,AFRO,3
South Sudan,SSD,AFRO,3
Spain,ESP,EURO,2
Sri Lanka,LKA,SEARO,6
Sudan,SDN,EMRO,3
Suriname,SUR,AMRO,3
Sweden,SWE,EURO,4
Switzerland,CHE,EURO,4
Syrian Arab Republic,SYR,EMRO,6
Tajikistan,TJK,EURO,6
Thailand,THA,SEARO,1
The United Kingdom,GBR,EURO,4
Timor-Leste,TLS,SEARO,6
Togo,TGO,AFRO,3
Tonga,TON,WPRO,6
Trinidad and Tobago,TTO,AMRO,6
Tunisia,TUN,EMRO,6
Turkey,TUR,EURO,6
Turkmenistan,TKM,EURO,6
Tuvalu,TUV,WPRO,6
Uganda,UGA,AFRO,3
Ukraine,UKR,EURO,4
United Arab Emirates,ARE,EMRO,6
United Republic of Tanzania,TZA,AFRO,3
United States of America,USA,AMRO,2
Uruguay,URY,AMRO,7
Uzbekistan,UZB,EURO,3
