"","Country","iso3","WHO_region","Cluster","Yhat","Female","Male"
"107","Morocco","MAR","EMRO",3,283119.85325276,139106.499131679,144013.354121082
"108","Monaco","MCO","EURO",5,502.46502296671,258.07618259306,244.38884037365
"109","Republic of Moldova","MDA","EURO",2,40659.1015032644,19168.6013598079,21490.5001434565
"110","Madagascar","MDG","AFRO",3,203541.480457588,97905.4067151146,105636.073742474
"111","Maldives","MDV","SEARO",6,1075.05990004341,418.067971394783,656.991928648624
"112","Mexico","MEX","AMRO",8,1054834.34505226,420676.984858661,634157.360193596
"113","Marshall Islands","MHL","WPRO",6,425.764071263476,178.725458656678,247.038612606798
"114","North Macedonia","MKD","EURO",2,25435.9072678182,12032.4475474333,13403.459720385
"115","Mali","MLI","AFRO",3,165978.473291908,82007.8910274076,83970.5822645002
"116","Malta","MLT","EURO",5,4030.77927624957,2091.91007117939,1938.86920507018
"117","Myanmar","MMR","SEARO",6,404327.889808316,180154.639288809,224173.250519507
"118","Montenegro","MNE","EURO",4,7349.03740203394,3436.42650635031,3912.61089568364
"119","Mongolia","MNG","WPRO",6,15975.9278388154,6156.35573617674,9819.5721026387
"120","Mozambique","MOZ","AFRO",3,301205.444801794,139671.651012756,161533.793789039
"121","Mauritania","MRT","AFRO",3,29441.0725119288,15167.0414264217,14274.0310855071
"122","Mauritius","MUS","AFRO",7,11063.1862808809,5124.32244798641,5938.86383289445
"123","Malawi","MWI","AFRO",3,116586.234835951,52432.4299834233,64153.804852528
"124","Malaysia","MYS","WPRO",7,171132.537003083,73076.1987050424,98056.3382980409
"125","Namibia","NAM","AFRO",3,20001.0602801088,9113.14153915938,10887.9187409495
"126","Niger","NER","AFRO",3,198412.550260542,93281.9218040672,105130.628456475
"127","Nigeria","NGA","AFRO",3,1807545.685493,836681.636122829,970864.049370171
"128","Nicaragua","NIC","AMRO",3,33475.9331544334,15238.9995420246,18236.9336124088
"129","Niue","NIU","WPRO",6,22.365256034619,10.9314983840465,11.4337576505725
"130","Netherlands","NLD","EURO",4,169134.866215661,84792.3778065168,84342.4884091442
"131","Norway","NOR","EURO",1,40722.5584519615,20589.0364028632,20133.5220490983
"132","Nepal","NPL","SEARO",3,195299.394132044,92956.1815217331,102343.212610311
"133","Nauru","NRU","WPRO",6,61.1155496788058,23.7365181731543,37.3790315056515
"134","New Zealand","NZL","WPRO",7,32822.2404270065,16286.8732077265,16535.3672192799
"135","Oman","OMN","EMRO",6,10558.2357365259,3885.74121439383,6672.49452213209
"136","Pakistan","PAK","EMRO",3,1775957.37764513,810460.330987306,965497.046657822
"137","Panama","PAN","AMRO",3,23985.8183796163,10323.7997503081,13662.0186293082
"138","Peru","PER","AMRO",8,212590.399072516,87997.5687085759,124592.83036394
"139","Philippines","PHL","WPRO",6,614163.176281186,274708.430596732,339454.745684453
"140","Palau","PLW","WPRO",7,199.60149512327,81.310873555031,118.290621568239
"141","Papua New Guinea","PNG","WPRO",6,63151.9880076505,27450.3243465049,35701.6636611456
"142","Poland","POL","EURO",2,479348.853477645,229895.16299307,249453.690484576
"143","Democratic People's Republic of Korea","PRK","SEARO",6,231728.17152187,114123.813503448,117604.358018422
"144","Portugal","PRT","EURO",4,124025.31735903,60191.218792559,63834.0985664711
"145","Paraguay","PRY","AMRO",6,36546.4222545613,14599.1392408322,21947.2830137291
"146","Qatar","QAT","EMRO",6,2566.29830871661,807.609006509787,1758.68930220682
"147","Romania","ROU","EURO",2,297657.443691239,140581.277170652,157076.166520588
"148","Russian Federation","RUS","EURO",2,2124919.78090546,1065357.86081602,1059561.92008944
"149","Rwanda","RWA","AFRO",6,69569.5359635716,31888.4784477145,37681.057515857
"150","Saudi Arabia","SAU","EMRO",6,150659.488248952,51303.2138261768,99356.2744227752
"151","Sudan","SDN","EMRO",3,263169.098902135,122908.353804706,140260.74509743
"152","Senegal","SEN","AFRO",3,96023.8154004593,47420.8741148192,48602.9412856401
"153","Singapore","SGP","WPRO",1,22021.206820724,9382.0852421358,12639.1215785882
"154","Solomon Islands","SLB","WPRO",6,5129.77878112941,2163.45753160172,2966.3212495277
"155","Sierra Leone","SLE","AFRO",3,70925.8338532387,34989.0863451804,35936.7475080583
"156","El Salvador","SLV","AMRO",3,50548.0514908396,22277.1673204569,28270.8841703826
"157","San Marino","SMR","EURO",2,326.53009772461,153.806929772539,172.723167952071
"158","Somalia","SOM","EMRO",3,182930.458709746,81639.6622970228,101290.796412723
"159","Serbia","SRB","EURO",2,117088.936612576,56840.1940314783,60248.7425810982
"160","South Sudan","SSD","AFRO",3,97850.5762816047,45265.0670380241,52585.5092435807
"161","Sao Tome and Principe","STP","AFRO",3,1157.45688186354,566.955950682269,590.500931181268
"162","Suriname","SUR","AMRO",3,5368.64067911227,2391.08236890459,2977.55831020768
"163","Slovakia","SVK","EURO",4,59075.6635596459,28105.5853491046,30970.0782105413
"164","Slovenia","SVN","EURO",2,24057.123211244,11985.8829273381,12071.2402839058
"165","Sweden","SWE","EURO",4,98436.3341739186,48867.6845370749,49568.6496368437
"166","Eswatini","SWZ","AFRO",3,12540.0875349806,5429.06933510251,7111.01819987807
"167","Seychelles","SYC","AFRO",7,719.021375816622,325.642713801111,393.37866201551
"168","Syrian Arab Republic","SYR","EMRO",6,76090.6734446638,36527.3591243351,39563.3143203286
"169","Chad","TCD","AFRO",3,158089.973422206,74388.6629352243,83701.3104869817
"170","Togo","TGO","AFRO",3,59691.601930856,26049.0473583244,33642.5545725316
"171","Thailand","THA","SEARO",1,501545.290595195,221574.658797658,279970.631797538
"172","Tajikistan","TJK","EURO",6,53537.7379586823,23216.235279487,30321.5026791953
"173","Turkmenistan","TKM","EURO",6,39827.0740535929,17207.2410297537,22619.8330238392
"174","Timor-Leste","TLS","SEARO",6,7914.60080541839,3569.90913390589,4344.6916715125
"175","Tonga","TON","WPRO",6,639.963015590449,259.282450853751,380.680564736698
"176","Trinidad and Tobago","TTO","AMRO",6,9393.90064929014,3765.17592720718,5628.72472208296
"177","Tunisia","TUN","EMRO",6,75989.9963442826,33936.0731604962,42053.9231837864
"178","Turkey","TUR","EURO",6,496367.511694289,236693.764361652,259673.747332637
"179","Tuvalu","TUV","WPRO",6,110.428443179132,51.4108487318479,59.0175944472846
"180","United Republic of Tanzania","TZA","AFRO",3,348177.153935258,163857.440379042,184319.713556216
"181","Uganda","UGA","AFRO",3,249837.243605806,109562.020661665,140275.222944142
