Country,iso3,sex,age,Nx,deaths
Belgium,BEL,Male,50,405226,1531.05216727788
Belgium,BEL,Male,55,406323,2538.55773048983
Belgium,BEL,Male,60,365223,3799.42422118926
Belgium,BEL,Male,65,306534,5318.60009499116
Belgium,BEL,Male,70,260160,7200.00291981033
Belgium,BEL,Male,75,171437,7615.67319146948
Belgium,BEL,Male,80,132264,10511.5094173616
Belgium,BEL,Male,85,112655,20885.4517686264
Bulgaria,BGR,Female,0,151943,169.613915638679
Bulgaria,BGR,Female,5,163636,9.94803024273776
Bulgaria,BGR,Female,10,180220,31.8336967767609
Bulgaria,BGR,Female,15,152495,35.3155073617191
Bulgaria,BGR,Female,20,144527,54.7141663350577
Bulgaria,BGR,Female,25,188656,72.6206207719857
Bulgaria,BGR,Female,30,232912,132.806203740549
Bulgaria,BGR,Female,35,228442,231.291703143653
Bulgaria,BGR,Female,40,259363,471.039231993633
Bulgaria,BGR,Female,45,256713,772.464548348587
Bulgaria,BGR,Female,50,236166,1147.5052884998
Bulgaria,BGR,Female,55,237857,1862.27126144051
Bulgaria,BGR,Female,60,247582,3064.49071627537
Bulgaria,BGR,Female,65,254543,4604.44579785117
Bulgaria,BGR,Female,70,249782,7089.46375248707
Bulgaria,BGR,Female,75,176280,8677.66678074015
Bulgaria,BGR,Female,80,124007,11126.8718265022
Bulgaria,BGR,Female,85,89200,19335.9863828094
Bulgaria,BGR,Male,0,160787,195.478794269797
Bulgaria,BGR,Male,5,173016,25.8648786311182
Bulgaria,BGR,Male,10,190393,33.8233028253084
Bulgaria,BGR,Male,15,162773,89.5322721846399
Bulgaria,BGR,Male,20,154940,139.272423398329
Bulgaria,BGR,Male,25,201794,170.608718662953
Bulgaria,BGR,Male,30,247927,336.740823716673
Bulgaria,BGR,Male,35,248310,593.400003979308
Bulgaria,BGR,Male,40,275301,1052.50159968166
Bulgaria,BGR,Male,45,270608,1790.14804218066
Bulgaria,BGR,Male,50,240384,2679.50194588142
Bulgaria,BGR,Male,55,230297,4301.03087544767
Bulgaria,BGR,Male,60,219716,6187.67481098289
Bulgaria,BGR,Male,65,200751,8271.28974532431
Bulgaria,BGR,Male,70,174818,10465.3278153601
Bulgaria,BGR,Male,75,109488,9352.14323119777
Bulgaria,BGR,Male,80,67832,8923.88052924791
Bulgaria,BGR,Male,85,44986,11498.4307560684
Brazil,BRA,Female,0,7070447,15293.8380031406
Brazil,BRA,Female,5,7136977,1094.19328802958
Brazil,BRA,Female,10,7319056,1594.66237715674
Brazil,BRA,Female,15,7964694,3513.64530275406
Brazil,BRA,Female,20,8466492,5146.64589170729
Brazil,BRA,Female,25,8418590,6047.07578498163
Brazil,BRA,Female,30,8576223,8348.40466065747
Brazil,BRA,Female,35,8735133,12420.5444541766
Brazil,BRA,Female,40,7956785,16834.619650205
Brazil,BRA,Female,45,7079054,21653.8364898126
Brazil,BRA,Female,50,6651999,29325.6235206563
Brazil,BRA,Female,55,6089814,40057.2143200145
Brazil,BRA,Female,60,5044879,52942.998155181
Brazil,BRA,Female,65,4034221,63885.9672033632
Brazil,BRA,Female,70,2957955,73183.5016479553
Brazil,BRA,Female,75,2011193,79092.7671040469
Brazil,BRA,Female,80,1395700,90183.908159983
Brazil,BRA,Female,85,1214414,174068.951738591
Brazil,BRA,Male,0,7404646,18840.6406782592
Brazil,BRA,Male,5,7464840,1526.27529665489
Brazil,BRA,Male,10,7623386,2344.84792690429
Brazil,BRA,Male,15,8253310,13298.1786539503
Brazil,BRA,Male,20,8685557,21947.0720016614
Brazil,BRA,Male,25,8534004,20352.4096245046
Brazil,BRA,Male,30,8571684,22080.7376590059
Brazil,BRA,Male,35,8593722,26383.9428911904
Brazil,BRA,Male,40,7704528,31682.9054621973
Brazil,BRA,Male,45,6721639,38331.9947891724
Brazil,BRA,Male,50,6170933,51443.6632235723
Brazil,BRA,Male,55,5508456,66729.2118836218
Brazil,BRA,Male,60,4423280,81860.371528599
Brazil,BRA,Male,65,3394482,93297.5926585899
Brazil,BRA,Male,70,2351464,96507.6407706312
Brazil,BRA,Male,75,1480939,92852.0404674415
Brazil,BRA,Male,80,921508,87773.7816562361
Brazil,BRA,Male,85,627405,119703.295075395
Canada,CAN,Female,0,972207,792.24401698726
Canada,CAN,Female,5,966024,66.8777416937297
Canada,CAN,Female,10,968771,87.4555083687235
Canada,CAN,Female,15,971038,246.933200099925
Canada,CAN,Female,20,1155236,437.277541843617
