Country,iso3,sex,age,Nx,Dxhat_WM,Dxhat_spinoff,Dx_observed
Argentina,ARG,Male,55,1003393,11187.3538705177,11823.688727980843,NA
Argentina,ARG,Male,60,877065,16068.0008848303,16232.415117857547,NA
Argentina,ARG,Male,65,745751,21671.4989380911,21815.87060564462,NA
Argentina,ARG,Male,70,578876,26235.1548993406,25223.137182483475,NA
Argentina,ARG,Male,75,385738,25902.3581045071,26052.52755508722,NA
Argentina,ARG,Male,80,228228,25330.3832823201,25327.476452874118,NA
Argentina,ARG,Male,85,159676,35903.6814858513,20619.87780359604,NA
Armenia,ARM,Female,0,97104,152.105454781932,151.2016240436074,133.624452648751
Armenia,ARM,Female,5,100229,14.3192584752377,12.0534881468389,10.1230645946023
Armenia,ARM,Female,10,92565,11.569457606922,10.363963007450767,12.1476775135228
Armenia,ARM,Female,15,79246,12.483762882515,17.630819970404474,13.159983972983
Armenia,ARM,Female,20,83570,20.7483765404848,26.538242645717787,24.2953550270456
Armenia,ARM,Female,25,121179,39.0060332023935,48.78037591643649,33.4061131621877
Armenia,ARM,Female,30,140965,71.678217067627,80.29547639918925,50.6153229730117
Armenia,ARM,Female,35,128446,119.435075533712,116.3728006626753,77.9475973784379
Armenia,ARM,Female,40,103854,172.242687612515,162.7435553587036,129.57522681091
Armenia,ARM,Female,45,89222,243.645692689719,252.10830633319776,181.202856243382
Armenia,ARM,Female,50,92854,404.219233944797,453.02849860045075,321.913454108354
Armenia,ARM,Female,55,114141,849.097561566477,867.991754502287,698.491457027561
Armenia,ARM,Female,60,112885,1348.72295585446,1326.0883662398326,1186.42317048739
Armenia,ARM,Female,65,76729,1608.6567519807,1425.0082423017075,1521.49660856873
Armenia,ARM,Female,70,50547,1278.34015520228,1544.4186188837152,1600.45651240663
Armenia,ARM,Female,75,26455,2075.96671374012,1613.775521134256,1614.62880283907
Armenia,ARM,Female,80,38221,3078.17377479459,3692.1187053102444,3724.2754643542
Armenia,ARM,Female,85,21275,4083.27988162462,1942.9664451277963,4721.39732692253
Armenia,ARM,Male,0,107883,210.995379750644,259.30252314654155,177.153630405541
Armenia,ARM,Male,5,113643,19.4999673053193,27.07038591880057,19.2338227297444
Armenia,ARM,Male,10,105888,19.3573648827473,40.237169790824304,23.2830485675854
Armenia,ARM,Male,15,91231,46.1131147698314,99.49955404093863,772.389828568157
Armenia,ARM,Male,20,92927,66.3560073694693,102.47223833002771,512.227068486878
Armenia,ARM,Male,25,111248,104.129006112831,110.46453271427994,424.156406513837
Armenia,ARM,Male,30,126226,152.523344266449,154.37839071657567,337.098051000258
Armenia,ARM,Male,35,108316,208.790660827585,193.73407249063223,365.442631865144
Armenia,ARM,Male,40,86905,399.675604131609,321.95825370614773,410.996422540854
Armenia,ARM,Male,45,73107,550.247567505104,485.8244182692681,517.288600784179
Armenia,ARM,Male,50,70401,1111.71531858832,878.8886309606552,698.491457027561
Armenia,ARM,Male,55,85257,2084.09465071195,1651.0142234817083,1380.78601070376
Armenia,ARM,Male,60,84196,2691.91505735957,2416.6346857556214,2032.71137059615
Armenia,ARM,Male,65,54592,2915.88584524574,2198.184674497918,2277.68953378552
Armenia,ARM,Male,70,33796,2317.46055501423,2013.9188340987232,2195.69271056925
Armenia,ARM,Male,75,15945,1989.35200003028,1800.7932484813534,1639.93646432558
Armenia,ARM,Male,80,21033,2539.36644728826,3607.638156283805,2907.34415156979
Armenia,ARM,Male,85,11153,2351.716186087,1876.920728655703,2623.89834292092
Antigua and Barbuda,ATG,Female,0,3625,4.79622272544981,4.005825433058873,NA
Antigua and Barbuda,ATG,Female,5,3560,0.0765711244997627,0.5935443764259057,NA
Antigua and Barbuda,ATG,Female,10,3369,1.44548804483182,0.613470350934234,NA
Antigua and Barbuda,ATG,Female,15,3490,1.54407693286157,1.4358250578907426,NA
Antigua and Barbuda,ATG,Female,20,3752,1.56922267175686,1.85198637765601,NA
Antigua and Barbuda,ATG,Female,25,3672,3.14508572071293,2.0348364792661067,NA
Antigua and Barbuda,ATG,Female,30,3691,3.1825897081299,2.7539694850818117,NA
Antigua and Barbuda,ATG,Female,35,3722,6.47108205573634,4.025535191554614,NA
Antigua and Barbuda,ATG,Female,40,3707,9.83473896413073,6.207500334004166,NA
Antigua and Barbuda,ATG,Female,45,3774,16.4842746649415,9.856891867645187,NA
Antigua and Barbuda,ATG,Female,50,3640,24.8325798053623,14.524169264281294,NA
Antigua and Barbuda,ATG,Female,55,3247,35.9568331437609,19.68857075092176,NA
Antigua and Barbuda,ATG,Female,60,2491,43.745210146689,26.33082387281941,NA
Antigua and Barbuda,ATG,Female,65,1807,49.9143197527373,35.19377317688807,NA
Antigua and Barbuda,ATG,Female,70,1338,60.2316053061875,50.132092481038995,NA
Antigua and Barbuda,ATG,Female,75,859,64.1961336425643,63.947814244475715,NA
Antigua and Barbuda,ATG,Female,80,505,65.5265205693357,81.14301540839813,NA
Antigua and Barbuda,ATG,Female,85,410,122.091792652035,100.33924842654129,NA
Antigua and Barbuda,ATG,Male,0,3730,5.79591038945077,6.091719994182269,NA
Antigua and Barbuda,ATG,Male,5,3668,1.24247779875045,0.7488401867085988,NA
Antigua and Barbuda,ATG,Male,10,3445,1.36717663010352,0.7883104053475711,NA
Antigua and Barbuda,ATG,Male,15,3563,2.96187331722412,2.90997016183967,NA
Antigua and Barbuda,ATG,Male,20,3827,7.70633867327626,4.5643357976998375,NA
Antigua and Barbuda,ATG,Male,25,3643,9.27132548512622,4.319362085439544,NA
Antigua and Barbuda,ATG,Male,30,3375,7.7787367735618,4.669809297395313,NA
Antigua and Barbuda,ATG,Male,35,3306,11.2161733424393,6.285682662469799,NA
Antigua and Barbuda,ATG,Male,40,3209,11.6902665870993,9.31498894197643,NA
Antigua and Barbuda,ATG,Male,45,3170,17.1366975598226,15.101257575772248,NA
Antigua and Barbuda,ATG,Male,50,3159,29.4790100059381,24.89856054001254,NA
Antigua and Barbuda,ATG,Male,55,2786,45.4346515621213,36.24847773682814,NA
Antigua and Barbuda,ATG,Male,60,2167,58.2520676861129,43.195967582724315,NA
Antigua and Barbuda,ATG,Male,65,1578,53.3077923417099,50.40871082962708,NA
Antigua and Barbuda,ATG,Male,70,1163,65.2417257537521,64.40902722501276,NA
Antigua and Barbuda,ATG,Male,75,741,67.3816992042284,75.65862947463341,NA
Antigua and Barbuda,ATG,Male,80,418,78.575713871504007,80.31790649476656,NA
Antigua and Barbuda,ATG,Male,85,321,113.670264435216,78.93422529605571,NA
Australia,AUS,Female,0,812208,318.490798102189,393.3198378726836,220.670209366621
Australia,AUS,Female,5,798241,32.0832450123953,46.691326129810754,22.7597076925214
Australia,AUS,Female,10,784728,38.3047870793683,41.57776735552111,24.7388127092624
Australia,AUS,Female,15,742431,110.757109192937,116.43632787703547,106.871670904014
Australia,AUS,Female,20,783346,124.439721414453,145.13546459680398,112.808985954237
Australia,AUS,Female,25,871181,179.721062674345,191.7459635660067,160.307506356021
Australia,AUS,Female,30,935876,281.897683140545,294.70497171929406,251.346337126106
Australia,AUS,Female,35,921292,421.144644275164,419.51716524449665,377.019505689159
Australia,AUS,Female,40,818343,592.523105591492,575.5850687789384,531.389696994957
Australia,AUS,Female,45,845813,893.832194927159,925.1810111989565,802.527084288473
Australia,AUS,Female,50,789390,1295.71220317457,1307.8459484472862,1163.7137498437
Australia,AUS,Female,55,782011,1911.7115815696,1921.9340221239975,1704.009419414
Australia,AUS,Female,60,724814,2588.25019944405,2699.284909571837,2242.32598396755
Australia,AUS,Female,65,630854,3646.9770320755,3680.3159963981766,3803.83984217619
Australia,AUS,Female,70,555787,5352.50414586022,5489.171494815091,5489.04776393115
Australia,AUS,Female,75,397186,6898.47013911554,6783.848295482478,7274.20048903153
Australia,AUS,Female,80,281672,9559.85029537961,9704.1858475582,10076.6131927368
Australia,AUS,Female,85,326083,34738.8308427709,13393.463177506843,36252.2561441532
Australia,AUS,Male,0,857499,317.458745632776,482.5126020101395,174.161241473208
Australia,AUS,Male,5,841026,32.6494624250311,52.310820586865226,18.8014976590394
Australia,AUS,Male,10,825846,41.736870348566796,56.923229006185885,20.7806026757804
Australia,AUS,Male,15,777475,190.617997261004,213.06665568186583,165.255268897873
Australia,AUS,Male,20,811222,339.05131710676,338.66888515829294,271.137387293516
Australia,AUS,Male,25,909705,404.426136418063,444.2698864682898,318.6359076953
Australia,AUS,Male,30,939585,541.453133863517,580.7795375780751,422.538921074202
Australia,AUS,Male,35,921591,712.887323879903,744.4242875693265,563.055377262813
Australia,AUS,Male,40,810368,872.59788498516,916.2850775869334,697.6345184012
Australia,AUS,Male,45,831536,1294.14444644997,1399.4564797928776,1040.01968629739
Australia,AUS,Male,50,768934,1742.92086297978,1969.3785822281916,1390.32127426055
Australia,AUS,Male,55,767400,2763.29580404434,3007.7207921029376,2162.17223078954
Australia,AUS,Male,60,693712,3936.94336076212,4119.2182291044055,2897.40974450882
Australia,AUS,Male,65,601807,5481.54071727359,5741.8754534272875,5747.32096861585
Australia,AUS,Male,70,527592,8152.10301988368,8042.041785306985,8085.63354589533
Australia,AUS,Male,75,365811,9658.32904960846,9463.060253744614,9836.15193320274
Australia,AUS,Male,80,241273,11864.0534911339,11631.15620942131,12086.3943372373
Australia,AUS,Male,85,206243,25217.3841393251,11998.70475229892,25940.1294544242
Austria,AUT,Female,0,217802,125.158969091844,126.8474913136235,131.436883553788
Austria,AUT,Female,5,206020,9.58101595560635,11.134915257572816,9.88247244765327
Austria,AUT,Female,10,205043,15.4735368050752,16.95010709399596,13.8354614267146
