Country,Year,Sex,Age,Deaths,Code,Source
Colombia,2015,t,90,14724,COL,country_public
Colombia,2015,t,95,5747,COL,country_public
Colombia,2015,t,100,1361,COL,country_public
Colombia,2015,t,TOT,219010,COL,country_public
Colombia,2016,f,0,3136,COL,country_public
Colombia,2016,f,1,750,COL,country_public
Colombia,2016,f,5,391,COL,country_public
Colombia,2016,f,10,470,COL,country_public
Colombia,2016,f,15,927,COL,country_public
Colombia,2016,f,20,1023,COL,country_public
Colombia,2016,f,25,1154,COL,country_public
Colombia,2016,f,30,1344,COL,country_public
Colombia,2016,f,35,1605,COL,country_public
Colombia,2016,f,40,1964,COL,country_public
Colombia,2016,f,45,2830,COL,country_public
Colombia,2016,f,50,3933,COL,country_public
Colombia,2016,f,55,5023,COL,country_public
Colombia,2016,f,60,6320,COL,country_public
Colombia,2016,f,65,7366,COL,country_public
Colombia,2016,f,70,8813,COL,country_public
Colombia,2016,f,75,11445,COL,country_public
Colombia,2016,f,80,13727,COL,country_public
Colombia,2016,f,85,13582,COL,country_public
Colombia,2016,f,90,8677,COL,country_public
Colombia,2016,f,95,3684,COL,country_public
Colombia,2016,f,100,913,COL,country_public
Colombia,2016,f,TOT,99097,COL,country_public
Colombia,2016,m,0,4062,COL,country_public
Colombia,2016,m,1,862,COL,country_public
Colombia,2016,m,5,479,COL,country_public
Colombia,2016,m,10,606,COL,country_public
Colombia,2016,m,15,2883,COL,country_public
Colombia,2016,m,20,4469,COL,country_public
Colombia,2016,m,25,4169,COL,country_public
Colombia,2016,m,30,3947,COL,country_public
Colombia,2016,m,35,3531,COL,country_public
Colombia,2016,m,40,3439,COL,country_public
Colombia,2016,m,45,4074,COL,country_public
Colombia,2016,m,50,5300,COL,country_public
Colombia,2016,m,55,7190,COL,country_public
Colombia,2016,m,60,8742,COL,country_public
Colombia,2016,m,65,10130,COL,country_public
Colombia,2016,m,70,11499,COL,country_public
Colombia,2016,m,75,13505,COL,country_public
Colombia,2016,m,80,13468,COL,country_public
Colombia,2016,m,85,11820,COL,country_public
Colombia,2016,m,90,6220,COL,country_public
Colombia,2016,m,95,2263,COL,country_public
Colombia,2016,m,100,484,COL,country_public
Colombia,2016,m,TOT,123318,COL,country_public
