"Country" "iso3" "sex" "age" "Nx" "deaths" "cluster" "lmx" "lmx.hat" "lmx.hatU" "lmx.hatL"
"27" "Albania" "ALB" "Male" 40 75896 171.459627329193 2 -6.09277143133903 -6.26481480051327 -6.19635509636279 -6.33327450466375
"28" "Albania" "ALB" "Male" 45 80264 261.131041622046 2 -5.72805412410007 -5.73839503136277 -5.67354924201987 -5.80324082070568
"29" "Albania" "ALB" "Male" 50 88504 437.51766973656 2 -5.30968593476337 -5.27033338185901 -5.22650060262733 -5.31416616109069
"30" "Albania" "ALB" "Male" 55 98654 872.079139001928 2 -4.72849388249142 -4.83694405194992 -4.79684377725222 -4.87704432664762
"31" "Albania" "ALB" "Male" 60 91164 1235.69179695866 2 -4.30102910957921 -4.40629194710018 -4.3755621787777 -4.43702171542266
"32" "Albania" "ALB" "Male" 65 69837 1552.00524737631 2 -3.80661615248553 -3.95656469752437 -3.92408231009502 -3.98904708495372
"33" "Albania" "ALB" "Male" 70 52442 1844.66909402442 2 -3.347407888419 -3.46284042818977 -3.43662156071384 -3.4890592956657
"34" "Albania" "ALB" "Male" 75 41429 2596.5294138645 2 -2.76980540618681 -2.86979238910584 -2.84107586449575 -2.89850891371592
"35" "Albania" "ALB" "Male" 80 25727 3001.52887841793 2 -2.14841923908984 -2.13383766538907 -2.10582086277196 -2.16185446800617
"36" "Albania" "ALB" "Male" 85 13344 2979.85007496252 2 -1.49919385677995 -1.2501017628787 -1.22435061842887 -1.27585290732853
"37" "Andorra" "AND" "Female" 0 1401 0.001401 2 -13.8155105579643 -9.0319716889885 -6.7579175155666 -11.3060258624104
"38" "Andorra" "AND" "Female" 5 1616 0.001616 2 -13.8155105579643 -9.77283340326157 -8.05599938761454 -11.4896674189086
"39" "Andorra" "AND" "Female" 10 2021 0.002021 2 -13.8155105579643 -10.1913099909327 -8.63053762260986 -11.7520823592555
"40" "Andorra" "AND" "Female" 15 1877 0.001877 2 -13.8155105579643 -10.1464662399301 -8.63706933101713 -11.6558631488432
"41" "Andorra" "AND" "Female" 20 1862 0.001862 2 -13.8155105579643 -9.71311062135527 -8.33254556357505 -11.0936756791355
"42" "Andorra" "AND" "Female" 25 1679 0.001679 2 -13.8155105579643 -9.06067100120331 -7.92454771797144 -10.1967942844352
"43" "Andorra" "AND" "Female" 30 2055 0.002055 2 -13.8155105579643 -8.37606684066978 -7.49976181708454 -9.25237186425501
"44" "Andorra" "AND" "Female" 35 2929 1.99049881235154 2 -7.29403108002803 -7.85286756844906 -7.18560188652454 -8.52013325037357
"45" "Andorra" "AND" "Female" 40 3473 1.99049881235154 2 -7.46438878594437 -7.50593671108556 -6.99648614342561 -8.01538727874551
"46" "Andorra" "AND" "Female" 45 3678 2.98574821852731 2 -7.1162740302564 -7.14026486406931 -6.69097824081306 -7.58955148732555
"47" "Andorra" "AND" "Female" 50 3372 1.99049881235154 2 -7.43487605232205 -6.65026843660443 -6.29524149074886 -7.00529538246
"48" "Andorra" "AND" "Female" 55 3105 7.96199524940618 2 -5.96608936644799 -6.12751007056466 -5.79140405317421 -6.46361608795512
"49" "Andorra" "AND" "Female" 60 2478 11.9429928741093 2 -5.33506232616133 -5.65659963008963 -5.37679982737665 -5.93639943280261
"50" "Andorra" "AND" "Female" 65 1853 8.95724465558195 2 -5.33209856270938 -5.22390214628785 -4.94035885788969 -5.50744543468601
"51" "Andorra" "AND" "Female" 70 1524 12.938242280285 2 -4.7689062925453 -4.79357205354916 -4.54536096653057 -5.04178314056775
"52" "Andorra" "AND" "Female" 75 1147 13.9334916864608 2 -4.41060970127436 -4.31891807457009 -4.0801004271329 -4.55773572200727
