"age" "sex" "cluster" "delta.hat" "delta.hatU" "delta.hatL"
"114" 25 "Female" "4" 0.0109776630313716 0.0296765704681602 -0.00772124440541708
"115" 30 "Female" "4" 0.0217831004521674 0.0386360211015303 0.00493017980280442
"116" 35 "Female" "4" 0.0277997605097303 0.0426370036384768 0.0129625173809839
"117" 40 "Female" "4" 0.0308122276325837 0.0435226116028912 0.0181018436622763
"118" 45 "Female" "4" 0.0323691817053227 0.0430667842708175 0.0216715791398279
"119" 50 "Female" "4" 0.0340594380079402 0.0428388162871133 0.025280059728767
"120" 55 "Female" "4" 0.0375758993613811 0.046130364392077 0.0290214343306851
"121" 60 "Female" "4" 0.0436839569721314 0.0536048856073415 0.0337630283369213
"122" 65 "Female" "4" 0.0500312033301775 0.061559866703139 0.0385025399572159
"123" 70 "Female" "4" 0.0542905899353117 0.0658487914823108 0.0427323883883126
"124" 75 "Female" "4" 0.058055062688353 0.0693806879044729 0.0467294374722332
"125" 80 "Female" "4" 0.0642055115014357 0.07615162900755 0.0522593939953215
"126" 85 "Female" "4" 0.0808528585617209 0.0941537757094785 0.0675519414139633
"127" 0 "Male" "4" -0.14581339977744 -0.119817961282474 -0.171808838272406
"128" 5 "Male" "4" -0.096665700109099 -0.0760630579244631 -0.117268342293735
"129" 10 "Male" "4" -0.0538009658835735 -0.0341170697947319 -0.0734848619724151
"130" 15 "Male" "4" -0.0229380406828272 -0.00307671495530351 -0.042799366410351
"131" 20 "Male" "4" -0.00522596527562362 0.0136715915463528 -0.0241235220976001
"132" 25 "Male" "4" 0.000495635215485737 0.0165077155253807 -0.0155164450944092
"133" 30 "Male" "4" -9.86610280158974e-05 0.0119267616267149 -0.0121240836827467
"134" 35 "Male" "4" 0.0017237821126847 0.0102835567389695 -0.00683599251360008
"135" 40 "Male" "4" 0.00880158276591567 0.0161132564853957 0.00148990904643562
"136" 45 "Male" "4" 0.0169681392178038 0.0252833411860911 0.00865293724951662
"137" 50 "Male" "4" 0.0238612852770764 0.0334030329552488 0.014319537598904
"138" 55 "Male" "4" 0.0314056943514714 0.0413363606989387 0.0214750280040041
"139" 60 "Male" "4" 0.0416233152540257 0.049523233702301 0.0337233968057505
"140" 65 "Male" "4" 0.0552243731120523 0.0598845193337129 0.0505642268903918
"141" 70 "Male" "4" 0.0721294018867891 0.0839334229417538 0.0603253808318244
"142" 75 "Male" "4" 0.0892343360992878 0.0907926970523071 0.0876759751462685
"143" 80 "Male" "4" 0.102622936126448 0.105968942397895 0.0992769298550017
"144" 85 "Male" "4" 0.114416382091442 0.120882881509178 0.107949882673705
"145" 0 "Female" "5" -0.383233710567622 -0.340072435844464 -0.426394985290779
"146" 5 "Female" "5" -0.316228566700022 -0.285085059487602 -0.347372073912442
"147" 10 "Female" "5" -0.250105713798498 -0.228321569604361 -0.271889857992635
"148" 15 "Female" "5" -0.186349904539454 -0.168932375202827 -0.203767433876081
"149" 20 "Female" "5" -0.127612582106332 -0.110473266476515 -0.144751897736149
"150" 25 "Female" "5" -0.0771005609429642 -0.0603498253795782 -0.0938512965063502
"151" 30 "Female" "5" -0.0387084096302986 -0.0240462323336382 -0.0533705869269589
"152" 35 "Female" "5" -0.0166913095074437 -0.00573026309575175 -0.0276523559191356
"153" 40 "Female" "5" -0.011111119014077 -0.00479519575515297 -0.017427042273001
"154" 45 "Female" "5" -0.0170716254271026 -0.0132036458847943 -0.0209396049694109
"155" 50 "Female" "5" -0.0283751781910993 -0.0224156071683864 -0.0343347492138123
"156" 55 "Female" "5" -0.0368487432389761 -0.0307792572351679 -0.0429182292427844
"157" 60 "Female" "5" -0.0379848215543187 -0.0217154307046811 -0.0542542124039563
"158" 65 "Female" "5" -0.0401938412061344 -0.0239244503564968 -0.056463232055772
"159" 70 "Female" "5" -0.0475936870354397 -0.0313242961858021 -0.0638630778850772
"160" 75 "Female" "5" -0.0236072108263182 -0.00733781997668063 -0.0398766016759558
"161" 80 "Female" "5" 0.0794797894601215 0.0957491803097591 0.063210398610484
"162" 85 "Female" "5" 0.394687251849729 0.410956642699367 0.378417861000091
"163" 0 "Male" "5" -0.331642341505547 -0.291842345813677 -0.371442337197417
"164" 5 "Male" "5" -0.263338431826997 -0.234096364583752 -0.292580499070242
"165" 10 "Male" "5" -0.192481774500333 -0.170283316850843 -0.214680232149822
"166" 15 "Male" "5" -0.118438768979793 -0.0999100857477849 -0.136967452211802
"167" 20 "Male" "5" -0.0432725231661464 -0.0261608532849641 -0.0603841930473288
"168" 25 "Male" "5" 0.0294500298027154 0.0461688076717694 0.0127312519336613
"169" 30 "Male" "5" 0.0915837773092647 0.108132457155783 0.0750350974627464
"170" 35 "Male" "5" 0.131931095950952 0.147473149016781 0.116389042885122
"171" 40 "Male" "5" 0.146886499250816 0.160732626496875 0.133040372004758
"172" 45 "Male" "5" 0.14188929068309 0.155316382655047 0.128462198711134
"173" 50 "Male" "5" 0.125421189159184 0.140205250527626 0.110637127790742
"174" 55 "Male" "5" 0.110866649188717 0.126911813118812 0.0948214852586233
"175" 60 "Male" "5" 0.108287944155998 0.123811361797221 0.0927645265147748
"176" 65 "Male" "5" 0.114852716988204 0.129165786708752 0.100539647267656
"177" 70 "Male" "5" 0.125468784508465 0.138703268164288 0.112234300852641
"178" 75 "Male" "5" 0.137447267857613 0.150780452518907 0.124114083196319
"179" 80 "Male" "5" 0.149078834317274 0.163411270100811 0.134746398533737
"180" 85 "Male" "5" 0.164951791259228 0.180212445432812 0.149691137085644
"181" 0 "Female" "6" -0.23333377824614 -0.194183519244644 -0.272484037247636
"182" 5 "Female" "6" -0.1669685860399 -0.136342538004071 -0.197594634075729
"183" 10 "Female" "6" -0.104318748061426 -0.0778830746710303 -0.130754421451822
"184" 15 "Female" "6" -0.0482866878012146 -0.0222573263438334 -0.0743160492585958
"185" 20 "Female" "6" -0.000678953500286817 0.0264755555774559 -0.0278334625780296
"186" 25 "Female" "6" 0.0372451372293829 0.0650779276449407 0.0094123468138251
"187" 30 "Female" "6" 0.0652194012692468 0.092660451627228 0.0377783509112656
"188" 35 "Female" "6" 0.0836913016851443 0.109770258520086 0.0576123448502027
"189" 40 "Female" "6" 0.0931013281899458 0.117325296654023 0.0688773597258687
"190" 45 "Female" "6" 0.0938715631575224 0.116270518247502 0.0714726080675429
"191" 50 "Female" "6" 0.087435288043524 0.108260635277708 0.0666099408093404
"192" 55 "Female" "6" 0.0771927119280606 0.0969672957828524 0.0574181280732689
"193" 60 "Female" "6" 0.0669935115415671 0.0860906845274122 0.047896338555722
"194" 65 "Female" "6" 0.0614290220975019 0.0803509609449511 0.0425070832500527
"195" 70 "Female" "6" 0.064445944333346 0.0831686594233828 0.0457232292433092
"196" 75 "Female" "6" 0.0753292822235576 0.0934538123390153 0.0572047521081
"197" 80 "Female" "6" 0.0916749282945276 0.108530642494875 0.0748192140941807
"198" 85 "Female" "6" 0.121125559218185 0.139926915801187 0.102324202635182
"199" 0 "Male" "6" -0.297346023616562 -0.26220344205911 -0.332488605174014
"200" 5 "Male" "6" -0.233079141100931 -0.206271230878217 -0.259887051323646
"201" 10 "Male" "6" -0.172286446600407 -0.149356810992893 -0.195216082207921
"202" 15 "Male" "6" -0.117528024979608 -0.0947262948657774 -0.140329755093438
"203" 20 "Male" "6" -0.0692231432841475 -0.0453788185643045 -0.0930674680039906
"204" 25 "Male" "6" -0.0268332077348329 -0.00273860994632174 -0.050927805523344
"205" 30 "Male" "6" 0.0106112842647687 0.0339606693886963 -0.0127381008591589
"206" 35 "Male" "6" 0.0443494280328674 0.066368063039518 0.0223307930262168
"207" 40 "Male" "6" 0.0744221663908297 0.0949291933320311 0.0539151394496283
"208" 45 "Male" "6" 0.0994554471409835 0.118526287505108 0.0803846067768586
"209" 50 "Male" "6" 0.118429108661943 0.136136675411436 0.100721541912449
"210" 55 "Male" "6" 0.131168433753186 0.147981861017029 0.114355006489343
"211" 60 "Male" "6" 0.138087753467811 0.154487003618658 0.121688503316964
"212" 65 "Male" "6" 0.141233895774205 0.157823852997352 0.124643938551057
"213" 70 "Male" "6" 0.143105113747154 0.159748023007422 0.126462204486885
"214" 75 "Male" "6" 0.146860833643287 0.16308459550102 0.130637071785554
"215" 80 "Male" "6" 0.15558576575859 0.170781126807504 0.140390404709676
"216" 85 "Male" "6" 0.176683996756529 0.195136902123133 0.158231091389926
"217" 0 "Female" "7" -0.188823526249704 -0.123097498961505 -0.254549553537903
"218" 5 "Female" "7" -0.148186552758531 -0.0961712177518674 -0.200201887765194
"219" 10 "Female" "7" -0.109533016254701 -0.0684045182704274 -0.150661514238976
"220" 15 "Female" "7" -0.0747070846445815 -0.0408952248963047 -0.108518944392858
"221" 20 "Female" "7" -0.045071709690037 -0.0149872812656722 -0.0751561381144018
"222" 25 "Female" "7" -0.0216924655232287 0.00704926665349947 -0.0504341976999568
"223" 30 "Female" "7" -0.00442390700007578 0.0238882370275004 -0.032736051027652
"224" 35 "Female" "7" 0.00777535632753744 0.035590508194804 -0.0200397955397291
"225" 40 "Female" "7" 0.0167145011506142 0.0437480706562289 -0.0103190683550004
"226" 45 "Female" "7" 0.0250823160771552 0.0512362733626292 -0.00107164120831885
"227" 50 "Female" "7" 0.0354199862946226 0.0607129123802628 0.0101270602089825
"228" 55 "Female" "7" 0.0498835911039587 0.0745647390291841 0.0252024431787332
"229" 60 "Female" "7" 0.0692897696889392 0.0934753266400679 0.0451042127378105
"230" 65 "Female" "7" 0.0901568320783781 0.114067396524943 0.0662462676318134
"231" 70 "Female" "7" 0.10855630646857 0.132100933051935 0.0850116798852052
"232" 75 "Female" "7" 0.123150781483108 0.146034868064615 0.1002666949016
"233" 80 "Female" "7" 0.133646501729197 0.155075051921731 0.112217951536663
"234" 85 "Female" "7" 0.143779025750662 0.164630211565049 0.122927839936275
"235" 0 "Male" "7" -0.226527791350431 -0.16696300240825 -0.286092580292611
"236" 5 "Male" "7" -0.1825938373106 -0.136618278524279 -0.22856939609692
"237" 10 "Male" "7" -0.141824433415922 -0.106393435866393 -0.177255430965451
"238" 15 "Male" "7" -0.107001994022028 -0.0780756509590554 -0.135928337085
"239" 20 "Male" "7" -0.0799530996062111 -0.0536921875348008 -0.106214011677621
"240" 25 "Male" "7" -0.0619131638925441 -0.0363094747695924 -0.0875168530154959
"241" 30 "Male" "7" -0.0517055271878865 -0.02627249242166 -0.0771385619541129
"242" 35 "Male" "7" -0.0463768383989293 -0.0212751843913886 -0.07147849240647
"243" 40 "Male" "7" -0.0416909204805671 -0.0171846064265798 -0.0661972345345545
"244" 45 "Male" "7" -0.0319532876033493 -0.00824626730374649 -0.0556603079029521
"245" 50 "Male" "7" -0.0122102899337845 0.0104579449914209 -0.0348785248589899
"246" 55 "Male" "7" 0.0208890519066252 0.0425464403019947 -0.000768336488744307
"247" 60 "Male" "7" 0.0673862983214867 0.0880663364077209 0.0467062602352526
"248" 65 "Male" "7" 0.116951209605463 0.137166945586318 0.0967354736246082
"249" 70 "Male" "7" 0.15858423674652 0.178779207215735 0.138389266277304
"250" 75 "Male" "7" 0.189925081584911 0.210214723808733 0.169635439361088
"251" 80 "Male" "7" 0.21189250525553 0.231607422070683 0.192177588440377
"252" 85 "Male" "7" 0.233187068996507 0.253719161349009 0.212654976644006
"253" 0 "Female" "8" -0.37962939545513 -0.360794715527826 -0.398464075382435
"254" 5 "Female" "8" -0.269508510860613 -0.255118579373289 -0.283898442347937
"255" 10 "Female" "8" -0.167090247477143 -0.151568179288435 -0.182612315665851
"256" 15 "Female" "8" -0.0761820129008356 -0.059434319920893 -0.0929297058807782
"257" 20 "Female" "8" 0.00319712848577097 0.019386584187448 -0.0129923272159061
"258" 25 "Female" "8" 0.0726889466356592 0.0867238232666384 0.0586540700046801
"259" 30 "Female" "8" 0.134233782301761 0.146111007965286 0.122356556638236
"260" 35 "Female" "8" 0.189922735244351 0.201601176645706 0.178244293842995
"261" 40 "Female" "8" 0.239972937358918 0.25292201063739 0.227023864080445
"262" 45 "Female" "8" 0.282380015750256 0.295455849302205 0.269304182198306
