Country,Code,Year,Sex,Deaths,Age,Source
South Africa,ZAF,2019,m,16479,0,samrc/uct
South Africa,ZAF,2019,m,5687,1,samrc/uct
South Africa,ZAF,2019,m,1801,5,samrc/uct
South Africa,ZAF,2019,m,1943,10,samrc/uct
South Africa,ZAF,2019,m,4199,15,samrc/uct
South Africa,ZAF,2019,m,8487,20,samrc/uct
South Africa,ZAF,2019,m,13043,25,samrc/uct
South Africa,ZAF,2019,m,15935,30,samrc/uct
South Africa,ZAF,2019,m,16661,35,samrc/uct
South Africa,ZAF,2019,m,16788,40,samrc/uct
South Africa,ZAF,2019,m,17562,45,samrc/uct
South Africa,ZAF,2019,m,19107,50,samrc/uct
South Africa,ZAF,2019,m,22703,55,samrc/uct
South Africa,ZAF,2019,m,23843,60,samrc/uct
South Africa,ZAF,2019,m,24358,65,samrc/uct
South Africa,ZAF,2019,m,20551,70,samrc/uct
South Africa,ZAF,2019,m,17370,75,samrc/uct
South Africa,ZAF,2019,m,11820,80,samrc/uct
South Africa,ZAF,2019,m,12870,85,samrc/uct
South Africa,ZAF,2019,t,527489,TOT,samrc/uct
South Africa,ZAF,2019,t,31854,0,samrc/uct
South Africa,ZAF,2019,t,10303,1,samrc/uct
South Africa,ZAF,2019,t,3153,5,samrc/uct
South Africa,ZAF,2019,t,3358,10,samrc/uct
South Africa,ZAF,2019,t,7198,15,samrc/uct
South Africa,ZAF,2019,t,13666,20,samrc/uct
South Africa,ZAF,2019,t,21878,25,samrc/uct
South Africa,ZAF,2019,t,26850,30,samrc/uct
South Africa,ZAF,2019,t,28645,35,samrc/uct
South Africa,ZAF,2019,t,28744,40,samrc/uct
South Africa,ZAF,2019,t,31017,45,samrc/uct
South Africa,ZAF,2019,t,33792,50,samrc/uct
South Africa,ZAF,2019,t,39969,55,samrc/uct
South Africa,ZAF,2019,t,42921,60,samrc/uct
South Africa,ZAF,2019,t,45291,65,samrc/uct
South Africa,ZAF,2019,t,40481,70,samrc/uct
South Africa,ZAF,2019,t,39017,75,samrc/uct
South Africa,ZAF,2019,t,32286,80,samrc/uct
South Africa,ZAF,2019,t,47066,85,samrc/uct
South Africa,ZAF,2020,f,295889,TOT,samrc/uct
South Africa,ZAF,2020,f,11743,0,samrc/uct
South Africa,ZAF,2020,f,3938,1,samrc/uct
South Africa,ZAF,2020,f,1198,5,samrc/uct
South Africa,ZAF,2020,f,1347,10,samrc/uct
South Africa,ZAF,2020,f,2891,15,samrc/uct
South Africa,ZAF,2020,f,5154,20,samrc/uct
South Africa,ZAF,2020,f,8789,25,samrc/uct
South Africa,ZAF,2020,f,11039,30,samrc/uct
South Africa,ZAF,2020,f,12790,35,samrc/uct
South Africa,ZAF,2020,f,12776,40,samrc/uct
South Africa,ZAF,2020,f,15384,45,samrc/uct
South Africa,ZAF,2020,f,17864,50,samrc/uct
South Africa,ZAF,2020,f,21962,55,samrc/uct
South Africa,ZAF,2020,f,25457,60,samrc/uct
South Africa,ZAF,2020,f,27029,65,samrc/uct
South Africa,ZAF,2020,f,26691,70,samrc/uct
South Africa,ZAF,2020,f,25216,75,samrc/uct
South Africa,ZAF,2020,f,25342,80,samrc/uct
South Africa,ZAF,2020,f,39279,85,samrc/uct
South Africa,ZAF,2020,m,294588,TOT,samrc/uct
South Africa,ZAF,2020,m,12722,0,samrc/uct
South Africa,ZAF,2020,m,4738,1,samrc/uct
South Africa,ZAF,2020,m,1630,5,samrc/uct
South Africa,ZAF,2020,m,1808,10,samrc/uct
South Africa,ZAF,2020,m,3805,15,samrc/uct
South Africa,ZAF,2020,m,7714,20,samrc/uct
South Africa,ZAF,2020,m,12260,25,samrc/uct
South Africa,ZAF,2020,m,15477,30,samrc/uct
South Africa,ZAF,2020,m,17437,35,samrc/uct
South Africa,ZAF,2020,m,17355,40,samrc/uct
South Africa,ZAF,2020,m,18841,45,samrc/uct
South Africa,ZAF,2020,m,21053,50,samrc/uct
South Africa,ZAF,2020,m,26102,55,samrc/uct
South Africa,ZAF,2020,m,28634,60,samrc/uct
South Africa,ZAF,2020,m,29296,65,samrc/uct
South Africa,ZAF,2020,m,25986,70,samrc/uct
South Africa,ZAF,2020,m,20044,75,samrc/uct
South Africa,ZAF,2020,m,15029,80,samrc/uct
South Africa,ZAF,2020,m,14657,85,samrc/uct
South Africa,ZAF,2020,t,590477,TOT,samrc/uct
South Africa,ZAF,2020,t,24465,0,samrc/uct
South Africa,ZAF,2020,t,8676,1,samrc/uct
South Africa,ZAF,2020,t,2828,5,samrc/uct
South Africa,ZAF,2020,t,3155,10,samrc/uct
South Africa,ZAF,2020,t,6696,15,samrc/uct
South Africa,ZAF,2020,t,12868,20,samrc/uct
South Africa,ZAF,2020,t,21049,25,samrc/uct
South Africa,ZAF,2020,t,26516,30,samrc/uct
South Africa,ZAF,2020,t,30227,35,samrc/uct
South Africa,ZAF,2020,t,30131,40,samrc/uct
South Africa,ZAF,2020,t,34225,45,samrc/uct
South Africa,ZAF,2020,t,38917,50,samrc/uct
South Africa,ZAF,2020,t,48064,55,samrc/uct
South Africa,ZAF,2020,t,54091,60,samrc/uct
South Africa,ZAF,2020,t,56325,65,samrc/uct
South Africa,ZAF,2020,t,52677,70,samrc/uct
South Africa,ZAF,2020,t,45260,75,samrc/uct
South Africa,ZAF,2020,t,40371,80,samrc/uct
South Africa,ZAF,2020,t,53936,85,samrc/uct
